50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d33c66ea-d86f-4b73-b9d7-423be6bc9fd6,21,,,"[57.2, 24.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,From Throw In,4394.0,Peter Whittingham,15.0,Left Center Midfield,3,59,Aston Villa,['fa670f12-d51f-4afb-b286-290754d2444f'],23,,,,,,,,,,,,,,,,,,,,,,59,Aston Villa,00:00:23.094,42,Ball Receipt*,
,,,,,,,,"[57.2, 24.3]",,,,,,,,,,,,,,,,0.389213,,,,,,,,,,,,,,,,,,,,,,1053af1e-f2e3-4c8b-9e30-2b27c292a03f,22,,,"[57.2, 24.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,From Throw In,4394.0,Peter Whittingham,15.0,Left Center Midfield,3,59,Aston Villa,"['2e20317f-238f-4314-81d4-e730a0054716', 'd33c66ea-d86f-4b73-b9d7-423be6bc9fd6']",23,,,,,,,,,,,,,,,,,,,,,,59,Aston Villa,00:00:23.094,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,0.933134,,,,,,,,,,,,,,,,,,,,,,2e20317f-238f-4314-81d4-e730a0054716,23,,,"[57.2, 24.3]",0,,,,,-0.6878071,,38.0,Left Foot,,,,"[72.9, 11.4]",1.0,Ground Pass,,20.31994,,,,,3633.0,Gareth Barry,,,,,,,1,4,From Throw In,4394.0,Peter Whittingham,15.0,Left Center Midfield,3,59,Aston Villa,['c0a76489-850c-4a68-886a-4a9882993f65'],23,,,,,,,,,,,,,,,,,,,,,,59,Aston Villa,00:00:23.484,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c0a76489-850c-4a68-886a-4a9882993f65,24,,,"[72.9, 11.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,From Throw In,3633.0,Gareth Barry,16.0,Left Midfield,3,59,Aston Villa,['2e20317f-238f-4314-81d4-e730a0054716'],24,,,,,,,,,,,,,,,,,,,,,,59,Aston Villa,00:00:24.417,42,Ball Receipt*,
,,,,,,,,"[72.9, 11.4]",,,,,,,,,,,,,,,,0.040000003,,,,,,,,,,,,,,,,,,,,,,cfacb9af-49d7-4040-a487-f778ca5362d2,25,,,"[72.9, 11.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,From Throw In,3633.0,Gareth Barry,16.0,Left Midfield,3,59,Aston Villa,"['ac75d1b1-e3f1-4890-9143-392e4815cbaf', 'c0a76489-850c-4a68-886a-4a9882993f65']",24,,,,,,,,,,,,,,,,,,,,,,59,Aston Villa,00:00:24.417,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,1.107689,,,,,,,,,,,,,,,,,,,,,,ac75d1b1-e3f1-4890-9143-392e4815cbaf,26,,,"[72.9, 11.4]",0,,,,,0.84046054,,38.0,Left Foot,,,,"[84.9, 24.8]",3.0,High Pass,,17.987774,,9.0,Incomplete,,20180.0,Marcus Allbäck,,,,,,,1,4,From Throw In,3633.0,Gareth Barry,16.0,Left Midfield,3,59,Aston Villa,"['3b8bbddc-50be-4e50-a804-1f4efaf76408', '4c9ee7db-45c0-402d-ae78-583f300c7fd7']",24,,,,,,,,,,,,,,,,,,,,,,59,Aston Villa,00:00:24.457,30,Pass,
,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3b8bbddc-50be-4e50-a804-1f4efaf76408,27,,,"[86.6, 33.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,From Throw In,20180.0,Marcus Allbäck,22.0,Right Center Forward,3,59,Aston Villa,['ac75d1b1-e3f1-4890-9143-392e4815cbaf'],25,,,,,,,,,,,,,,,,,,,,,,59,Aston Villa,00:00:25.564,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,1.239945,,,,,,,,,,,,,,,,,,,,,,4c9ee7db-45c0-402d-ae78-583f300c7fd7,28,,,"[35.2, 55.3]",0,,,,,-0.2504431,,37.0,Head,,,,"[48.1, 52.0]",2.0,Low Pass,,13.315405,,9.0,Incomplete,,15515.0,Patrick Vieira,,,,,66.0,Recovery,1,4,From Throw In,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",3.0,Right Center Back,3,59,Aston Villa,"['3b72a268-998b-4107-a731-530c7fbdfe03', 'ac75d1b1-e3f1-4890-9143-392e4815cbaf', 'fad7b296-e28b-4bf5-9dab-02e8d3d6aa68']",25,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:25.564,30,Pass,
,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3b72a268-998b-4107-a731-530c7fbdfe03,29,,,"[52.0, 50.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,From Throw In,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,3,59,Aston Villa,['4c9ee7db-45c0-402d-ae78-583f300c7fd7'],26,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:26.804,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,fad7b296-e28b-4bf5-9dab-02e8d3d6aa68,30,,,"[72.0, 28.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,From Throw In,20019.0,Thomas Hitzlsperger,13.0,Right Center Midfield,3,59,Aston Villa,['4c9ee7db-45c0-402d-ae78-583f300c7fd7'],26,,,,,,,,,,,,,,,,,,,,,,59,Aston Villa,00:00:26.804,2,Ball Recovery,
