50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06cba238-9c83-4d95-b0f0-f1b4568c60dd,21,,,"[96.1, 53.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,40255.0,Jérémie Aliadière,22.0,Right Center Forward,3,1,Arsenal,['a493cb5b-72d9-489b-9abf-bab7e5d0a94b'],40,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:40.018,42,Ball Receipt*,
,,,,,,,,"[107.8, 53.2]",,,,,,,,,,,,,,,,1.204483,,,,,,,,,,,,,,,,,,,,,,53b5c37b-1375-4f38-9664-a75213e1c2b0,22,,,"[96.1, 53.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,40255.0,Jérémie Aliadière,22.0,Right Center Forward,3,1,Arsenal,"['06cba238-9c83-4d95-b0f0-f1b4568c60dd', '9afb12bb-3b1c-41d3-add6-d222e06402e4']",40,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:40.018,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,0.499539,,,,,,,,,,,,,,,,,,,,,,9afb12bb-3b1c-41d3-add6-d222e06402e4,23,,,"[107.8, 53.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,40255.0,Jérémie Aliadière,22.0,Right Center Forward,3,1,Arsenal,['3469b6a3-7a15-4a4e-9a9d-f838cacaa913'],41,,40.0,Right Foot,"[117.7, 43.7, 0.2]",,"[{'location': [117.5, 41.6], 'player': {'id': 40322, 'name': 'Mark Schwarzer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.3, 50.1], 'player': {'id': 15403, 'name': 'Gareth Southgate'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",a493cb5b-72d9-489b-9abf-bab7e5d0a94b,True,100.0,Saved,0.07732119,93.0,Normal,87.0,Open Play,,,,,,,1,Arsenal,00:00:41.223,16,Shot,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,38.0,Left Foot,,53.0,In Play Safe,44.0,Set,,46.0,Standing,33.0,Shot Saved,3469b6a3-7a15-4a4e-9a9d-f838cacaa913,24,,,"[2.6, 38.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,40322.0,Mark Schwarzer,1.0,Goalkeeper,3,1,Arsenal,['9afb12bb-3b1c-41d3-add6-d222e06402e4'],41,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:41.722,23,Goal Keeper,
,,,,,,,,,,,,,,,,,,,,,,,,1.509827,,,,,,,,,,,,,,,,,,,,,,3c06411c-74ef-4856-9133-4d7cc2ad9396,25,,,"[37.5, 23.1]",0,,True,,,-2.698591,,40.0,Right Foot,,,"[23.8, 16.6]",,1.0,Ground Pass,,15.163773,,,,,40328.0,Franck Queudrue,,,,,,66.0,Recovery,1,1,Regular Play,17793.0,Boudewijn Zenden,22.0,Right Center Forward,4,47,Middlesbrough,['d29727c2-e2e7-4a09-bbdf-a7de789b1522'],44,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:44.242,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d29727c2-e2e7-4a09-bbdf-a7de789b1522,26,,,"[23.8, 16.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40328.0,Franck Queudrue,6.0,Left Back,4,47,Middlesbrough,['3c06411c-74ef-4856-9133-4d7cc2ad9396'],45,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:45.752,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,1.415876,,,,,,,,,,,,,,,,,,,,,,8aec46c9-5656-4c37-8531-7937db806fbe,27,,,"[31.1, 15.4]",0,,,,,-0.3359676,,38.0,Left Foot,,,"[56.3, 6.6]",,1.0,Ground Pass,,26.692322,,,,,40323.0,Joseph-Desiré Job,,,,,,,,1,1,Regular Play,40328.0,Franck Queudrue,6.0,Left Back,4,47,Middlesbrough,['30d725ee-e70c-42da-bce5-ca44003285d3'],47,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:47.254,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30d725ee-e70c-42da-bce5-ca44003285d3,28,,,"[56.3, 6.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40323.0,Joseph-Desiré Job,24.0,Left Center Forward,4,47,Middlesbrough,['8aec46c9-5656-4c37-8531-7937db806fbe'],48,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:48.670,42,Ball Receipt*,
,,,,,,,,"[66.8, 9.4]",,,,,,,,,,,,,,,,0.079997,,,,,,,,,,,,,,,,,,,,,,6ee5757c-a167-48e6-8424-2816f823c3a6,29,,,"[56.3, 6.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40323.0,Joseph-Desiré Job,24.0,Left Center Forward,4,47,Middlesbrough,"['30d725ee-e70c-42da-bce5-ca44003285d3', 'ba5a73a3-12a5-43db-935f-de240b66627b']",48,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:48.670,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,0.971349,,,,,,,,,,,,,,,,,,,,,,ba5a73a3-12a5-43db-935f-de240b66627b,30,,,"[66.8, 9.4]",0,,,,,2.079107,,40.0,Right Foot,,,"[62.9, 16.4]",,1.0,Ground Pass,,8.013114,,,,,9585.0,Stewart Downing,,,,,,,,1,1,Regular Play,40323.0,Joseph-Desiré Job,24.0,Left Center Forward,4,47,Middlesbrough,['8acc95b4-53c1-4696-b82a-e5144d423855'],48,,,,,,,,,,,,,,,,,,,,,,47,Middlesbrough,00:00:48.750,30,Pass,
