ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_shot_saved_to_post,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6a9b7579-9647-429d-b0b0-998d82df32dd,21,,,"[38.6, 70.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,From Counter,15515.0,Patrick Vieira,11.0,Left Defensive Midfield,3,1,Arsenal,['51dbf56d-cc49-40d6-93c6-16f83b80ce96'],15,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:15.589,42,Ball Receipt*,
,,,,,,"[41.6, 72.8]",,,,,,,,,,,,,,,,,1.291006,,,,,,,,,,,,,,,,,,,,84022499-0048-46f6-ad44-b2a564b4f29d,22,,,"[38.6, 70.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,From Counter,15515.0,Patrick Vieira,11.0,Left Defensive Midfield,3,1,Arsenal,"['31f35dc4-a297-4f26-a8da-a51dc0d01cf4', '6a9b7579-9647-429d-b0b0-998d82df32dd', '8f7bdeab-7025-44db-afeb-1606a8c73428']",15,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:15.589,43,Carry,True
,,,,,,,,,,,,,,True,,,,,,,,,1.090393,,,,,,,,,,,,,,,,,,,,8f7bdeab-7025-44db-afeb-1606a8c73428,23,,,"[81.7, 13.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,From Counter,40395.0,Michael Gray,6.0,Left Back,3,1,Arsenal,"['31f35dc4-a297-4f26-a8da-a51dc0d01cf4', '84022499-0048-46f6-ad44-b2a564b4f29d']",15,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:15.855,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,0.90681,,,,,,,,,,,,,,,,,,,,31f35dc4-a297-4f26-a8da-a51dc0d01cf4,24,,,"[41.6, 72.8]",0,,,,,0.14189705,,40.0,Right Foot,,,,"[53.5, 74.5]",1.0,Ground Pass,,12.020815,,,,,40221.0,Gilberto Aparecido da Silva,,,,,,,,1,6,From Counter,15515.0,Patrick Vieira,11.0,Left Defensive Midfield,3,1,Arsenal,"['8f7bdeab-7025-44db-afeb-1606a8c73428', 'c4c5cd25-e104-40bc-a0d0-3ff466321fdc']",16,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.880,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c4c5cd25-e104-40bc-a0d0-3ff466321fdc,25,,,"[53.5, 74.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,From Counter,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,3,1,Arsenal,['31f35dc4-a297-4f26-a8da-a51dc0d01cf4'],17,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.787,42,Ball Receipt*,
,,,,,,"[72.8, 73.0]",,,,,,,,,,,,,,,,,0.996911,,,,,,,,,,,,,,,,,,,,a495762d-e799-4a5f-b621-cd70c2fe7afc,26,,,"[53.5, 74.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,From Counter,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,3,1,Arsenal,"['46b991e6-d88c-4c34-86e7-a5cdcb36c7e5', 'c4c5cd25-e104-40bc-a0d0-3ff466321fdc']",17,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.787,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,1.656808,,,,,,,,,,,,,,,,,,,,46b991e6-d88c-4c34-86e7-a5cdcb36c7e5,27,,,"[72.8, 73.0]",0,,,,,-1.2908932,,40.0,Right Foot,,,,"[79.9, 48.3]",2.0,Low Pass,,25.700195,,9.0,Incomplete,,,,,,,,,,,1,6,From Counter,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,3,1,Arsenal,['76884354-a873-4d22-9477-0a675ef8838e'],18,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:18.784,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,76884354-a873-4d22-9477-0a675ef8838e,28,,,"[40.2, 31.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40354.0,Lucas Neill,2.0,Right Back,4,98,Blackburn Rovers,['46b991e6-d88c-4c34-86e7-a5cdcb36c7e5'],20,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:20.440,2,Ball Recovery,
,,,,,,"[42.1, 32.2]",,,,,,,,,,,,,,,,,1.219497,,,,,,,,,,,,,,,,,,,,25d4e756-a75e-4ead-a709-18a2f77eb689,29,,,"[40.2, 31.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40354.0,Lucas Neill,2.0,Right Back,4,98,Blackburn Rovers,"['76884354-a873-4d22-9477-0a675ef8838e', 'b5a50996-8331-42de-87fe-335897fc5866', 'e065700f-2756-41d8-aa2b-b1c7938501e2']",20,,,,,,,,,,,,,,,,,,,,,,,98,Blackburn Rovers,00:00:20.440,43,Carry,True
,,,,,,,,,,,,,,True,,,,,,,,,0.511613,,,,,,,,,,,,,,,,,,,,b5a50996-8331-42de-87fe-335897fc5866,30,,,"[75.4, 51.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,23816.0,José Antonio Reyes Calderón,22.0,Right Center Forward,4,98,Blackburn Rovers,"['25d4e756-a75e-4ead-a709-18a2f77eb689', 'e065700f-2756-41d8-aa2b-b1c7938501e2']",21,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:21.330,17,Pressure,
