50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,injury_stoppage_in_chain,interception_outcome_id,interception_outcome_name,location,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_redirect,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,1.934611,,,,,,,,,,,,,,,,,,,,,979e7329-24d8-4f5b-ace8-17d09ef9b882,23,,,,"[56.1, 75.3]",0,,,,-2.1327178,,40.0,Right Foot,,,,"[51.0, 67.2]",,1.0,Ground Pass,,9.571834,,,,,40222.0,Laureano Bisan-Etame Mayer,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,12.0,Right Midfield,2,1,Arsenal,['cf16dbfb-90d0-496c-b35e-d70d10464d05'],18,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:18.792,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cf16dbfb-90d0-496c-b35e-d70d10464d05,24,,,,"[51.0, 67.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['979e7329-24d8-4f5b-ace8-17d09ef9b882'],20,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:20.726,42,Ball Receipt*,
,,,,,,,"[50.3, 67.0]",,,,,,,,,,,,,,,,,0.326099,,,,,,,,,,,,,,,,,,,,,bdb56ad0-1fbd-443e-8196-20fb6fd2354b,25,,,,"[51.0, 67.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,"['8611fa4c-17bd-4be8-885a-e7dfb08b6953', 'cf16dbfb-90d0-496c-b35e-d70d10464d05']",20,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:20.726,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,2.472114,,,,,,,,,,,,,,,,,,,,,8611fa4c-17bd-4be8-885a-e7dfb08b6953,26,,,,"[50.3, 67.0]",0,,,,-2.1405528,,40.0,Right Foot,,,,"[38.0, 47.8]",,1.0,Ground Pass,,22.801973,,,,,15654.0,Martin Keown,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['80d518bc-e0bd-454a-8623-d5ed62b4031c'],21,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:21.052,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80d518bc-e0bd-454a-8623-d5ed62b4031c,27,,,,"[38.0, 47.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15654.0,Martin Keown,5.0,Left Center Back,2,1,Arsenal,['8611fa4c-17bd-4be8-885a-e7dfb08b6953'],23,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:23.524,42,Ball Receipt*,
,,,,,,,"[38.0, 47.8]",,,,,,,,,,,,,,,,,0.119999,,,,,,,,,,,,,,,,,,,,,ad386cff-1596-48a6-ac08-ecae11c9b565,28,,,,"[38.0, 47.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15654.0,Martin Keown,5.0,Left Center Back,2,1,Arsenal,"['50ec7579-3c2b-40ce-ac0d-98d971bd13ed', '80d518bc-e0bd-454a-8623-d5ed62b4031c']",23,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:23.524,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,1.605633,,,,,,,,,,,,,,,,,,,,,50ec7579-3c2b-40ce-ac0d-98d971bd13ed,29,,,,"[38.0, 47.8]",0,,,,-1.6529639,,40.0,Right Foot,,,,"[35.9, 22.3]",,1.0,Ground Pass,,25.586325,,,,,38412.0,Kolo Habib Touré,,,,,,,,,1,9,From Kick Off,15654.0,Martin Keown,5.0,Left Center Back,2,1,Arsenal,['8295f31d-284a-4abc-8096-69af63d051e8'],23,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:23.644,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8295f31d-284a-4abc-8096-69af63d051e8,30,,,,"[35.9, 22.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,['50ec7579-3c2b-40ce-ac0d-98d971bd13ed'],25,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:25.250,42,Ball Receipt*,
,,,,,,,"[33.2, 21.4]",,,,,,,,,,,,,,,,,0.498378,,,,,,,,,,,,,,,,,,,,,1f878166-82a3-48a1-bb0d-5bcd501e166f,31,,,,"[35.9, 22.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,"['8295f31d-284a-4abc-8096-69af63d051e8', 'c3d2e7cf-8f80-4e2b-8f1c-1613535f5a4e']",25,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:25.250,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,1.935836,,,,,,,,,,,,,,,,,,,,,c3d2e7cf-8f80-4e2b-8f1c-1613535f5a4e,32,,,,"[33.2, 21.4]",0,,,,2.6275291,,40.0,Right Foot,,,,"[7.7, 35.8]",,1.0,Ground Pass,,29.284979,,,,,20015.0,Jens Lehmann,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,['82d23756-e0b4-47c2-90a4-f2b6f6af3cb7'],25,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:25.748,30,Pass,
