50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,half_start_late_video_start,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,1.688239,,,,,,,,,,,,,,,,,,,,,,,cc5215b2-c671-4889-b8ba-561adb05c82a,21,,,"[32.0, 51.2]",0,,,,,1.4864897,,38.0,Left Foot,,,,"[33.8, 72.5]",,1.0,Ground Pass,,21.375921,,,,40222.0,Laureano Bisan-Etame Mayer,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,['a38c366a-be8a-4d0b-8e6a-c425898a80be'],11,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.173,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a38c366a-be8a-4d0b-8e6a-c425898a80be,22,,,"[33.8, 72.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['cc5215b2-c671-4889-b8ba-561adb05c82a'],12,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.861,42,Ball Receipt*,
,,,,,,,,,"[35.2, 72.5]",,,,,,,,,,,,,,,,0.606548,,,,,,,,,,,,,,,,,,,,,,,d1c38d97-2de5-4c33-a82c-c81733ff11ba,23,,,"[33.8, 72.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,"['78dd47c1-89ca-4808-a827-94556409296b', 'a38c366a-be8a-4d0b-8e6a-c425898a80be']",12,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.861,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,,1.143399,,,,,,,,,,,,,,,,,,,,,,,78dd47c1-89ca-4808-a827-94556409296b,24,,,"[35.2, 72.5]",0,,,,,0.15865526,,40.0,Right Foot,,,,"[55.2, 75.7]",,1.0,Ground Pass,,20.254383,,,,24972.0,Ray Parlour,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['75573534-b14e-4e2a-b58e-cfdd30721858'],13,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.468,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75573534-b14e-4e2a-b58e-cfdd30721858,25,,,"[55.2, 75.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,12.0,Right Midfield,2,1,Arsenal,['78dd47c1-89ca-4808-a827-94556409296b'],14,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.611,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,0.273552,,,,,,,,,,,,,,,,,,,,,,,46f60aae-1de6-44cd-ac56-2deba260217a,26,,,"[55.2, 75.7]",0,,,,,-1.0899091,,40.0,Right Foot,,,,"[56.4, 73.4]",,1.0,Ground Pass,,2.5942245,9.0,Incomplete,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,12.0,Right Midfield,2,1,Arsenal,['2fff8d99-5610-4f83-a3d8-8bf64f58eb01'],14,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.611,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,2fff8d99-5610-4f83-a3d8-8bf64f58eb01,27,,,"[63.7, 6.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,3872.0,Johnnie Jackson,16.0,Left Midfield,2,1,Arsenal,['46f60aae-1de6-44cd-ac56-2deba260217a'],14,,,,,,,,,,,,,,,,,,,,,,,38,Tottenham Hotspur,00:00:14.885,6,Block,
,,,,,,,,,,,,,,,,,,,,,,,,,0.888032,,,,,,,,,,,,,,,,,,,,,,,7608b962-669f-4e43-8fa9-10db4cd7b2fd,28,,,"[53.2, 75.2]",0,,,,,-1.4963075,,38.0,Left Foot,,,,"[53.7, 68.5]",,2.0,Low Pass,,6.718631,9.0,Incomplete,,,,,,,,,,66.0,Recovery,1,9,From Kick Off,24972.0,Ray Parlour,12.0,Right Midfield,2,1,Arsenal,['8511d0a6-65fd-4370-8e9d-e0719b7cff7c'],16,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.093,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,8511d0a6-65fd-4370-8e9d-e0719b7cff7c,29,,,"[66.4, 11.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15638.0,Jamie Redknapp,13.0,Right Center Midfield,2,1,Arsenal,['7608b962-669f-4e43-8fa9-10db4cd7b2fd'],16,,,,,,,,,,,,,,,,,,,,,,,38,Tottenham Hotspur,00:00:16.981,2,Ball Recovery,
,,,,,,,,,"[69.3, 8.4]",,,,,,,,,,,,,,,,1.227343,,,,,,,,,,,,,,,,,,,,,,,c09d0166-d704-4eea-8063-6114f065d5a9,30,,,"[66.4, 11.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15638.0,Jamie Redknapp,13.0,Right Center Midfield,2,1,Arsenal,"['8511d0a6-65fd-4370-8e9d-e0719b7cff7c', 'c9230cce-c0b4-4423-9d9c-93230a02d2e2', 'eb2c232b-761b-4197-984a-53ca23331c33']",16,,,,,,,,,,,,,,,,,,,,,,,38,Tottenham Hotspur,00:00:16.981,43,Carry,True
