ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d94d9dd-78b1-43f5-a761-a5e216cb1b38,21,,,"[101.5, 41.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,From Free Kick,40433.0,Kevin Phillips,24.0,Left Center Forward,4,25,Southampton,['756f926c-6365-4738-a2ae-88663f2f2a16'],33,,,,,,,,,,,,,,,,,,,,,25,Southampton,00:00:33.666,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,0.044815,,,,,,,,,,,,,,,,,,9344c992-ac81-4eae-81fd-dda879998f97,22,,,"[101.5, 41.9]",0,,,,,-0.4346702,,40.0,Right Foot,,,"[104.3, 40.6]",,1.0,Ground Pass,,3.0870697,9.0,Incomplete,,,,,,,,,,,,1,3,From Free Kick,40433.0,Kevin Phillips,24.0,Left Center Forward,4,25,Southampton,['07c5ed2e-c221-4168-8e9d-e4851fc0ba2e'],33,,,,,,,,,,,,,,,,,,,,,25,Southampton,00:00:33.666,30,Pass,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,07c5ed2e-c221-4168-8e9d-e4851fc0ba2e,23,13.0,Lost In Play,"[15.8, 39.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,From Free Kick,15515.0,Patrick Vieira,11.0,Left Defensive Midfield,4,25,Southampton,['9344c992-ac81-4eae-81fd-dda879998f97'],33,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:33.711,10,Interception,
,,,,,,,,,,,,,,,,,,,,2.703024,,,,,,,,,,,,,,,,,,77b3e0fb-9570-49de-a859-94db08b82491,24,,,"[76.9, 54.0]",0,,,,,2.7847874,,40.0,Right Foot,,,"[49.0, 64.4]",,1.0,Ground Pass,,29.775326,,,,40441.0,Michael Lennart Svensson,,,,,,,66.0,Recovery,1,3,From Free Kick,40435.0,Rory Delap,15.0,Left Center Midfield,4,25,Southampton,['464896a2-604f-4c17-aef0-15e11f41eaa8'],36,,,,,,,,,,,,,,,,,,,,,25,Southampton,00:00:36.834,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464896a2-604f-4c17-aef0-15e11f41eaa8,25,,,"[49.0, 64.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,From Free Kick,40441.0,Michael Lennart Svensson,3.0,Right Center Back,4,25,Southampton,['77b3e0fb-9570-49de-a859-94db08b82491'],39,,,,,,,,,,,,,,,,,,,,,25,Southampton,00:00:39.537,42,Ball Receipt*,
,,,,,"[49.0, 64.4]",,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,ba4102ed-297b-43f7-b3ef-077bfe667c37,26,,,"[49.0, 64.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,From Free Kick,40441.0,Michael Lennart Svensson,3.0,Right Center Back,4,25,Southampton,"['464896a2-604f-4c17-aef0-15e11f41eaa8', 'cedb113b-eebc-4ca4-801c-83ed74d229dd']",39,,,,,,,,,,,,,,,,,,,,,25,Southampton,00:00:39.537,43,Carry,
,,,,,,,,,,,,,,,,,,,,3.840029,,,,,,,,,,,,,,,,,,cedb113b-eebc-4ca4-801c-83ed74d229dd,27,,,"[49.0, 64.4]",0,,,,,0.05995964,,40.0,Right Foot,,,"[112.3, 68.2]",,3.0,High Pass,,63.413956,9.0,Incomplete,,,,,,,,,,,,1,3,From Free Kick,40441.0,Michael Lennart Svensson,3.0,Right Center Back,4,25,Southampton,['5b1c9fd9-df4b-418a-853f-cfd33d685a2a'],39,,,,,,,,,,,,,,,,,,,,,25,Southampton,00:00:39.577,30,Pass,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5b1c9fd9-df4b-418a-853f-cfd33d685a2a,28,,,"[7.8, 11.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,From Free Kick,20015.0,Jens Lehmann,1.0,Goalkeeper,4,25,Southampton,['cedb113b-eebc-4ca4-801c-83ed74d229dd'],43,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:43.417,2,Ball Recovery,
,,,,,"[6.5, 5.6]",,,,,,,,,,,,,,,1.37448,,,,,,,,,,,,,,,,,,9e954c3f-eb09-46b7-a0b1-a86835db5c14,29,,,"[7.8, 11.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,From Free Kick,20015.0,Jens Lehmann,1.0,Goalkeeper,4,25,Southampton,"['5b1c9fd9-df4b-418a-853f-cfd33d685a2a', 'd78d87f0-6506-4ea6-ab08-0057cb17f339', 'f5c80b79-fd0d-4b2c-b88e-15f71e2e5cfe']",43,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:43.417,43,Carry,True
,,,,,,,,,,,,True,,,,,,,,1.243414,,,,,,,,,,,,,,,,,,f5c80b79-fd0d-4b2c-b88e-15f71e2e5cfe,30,,,"[107.1, 71.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,From Free Kick,40442.0,James Beattie,22.0,Right Center Forward,4,25,Southampton,['9e954c3f-eb09-46b7-a0b1-a86835db5c14'],43,,,,,,,,,,,,,,,,,,,,,25,Southampton,00:00:43.493,17,Pressure,
