50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d7038e10-893d-494b-a462-bf5ca7b892de,24,,,"[67.5, 14.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40305.0,Mark Kennedy,16.0,Left Midfield,2,46,Wolverhampton Wanderers,['487ca1c2-2d08-4c34-80cd-664866a38056'],11,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:11.927,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,0.840592,,,,,,,,,,,,,,,,,,,30384b77-d2e4-4d77-b761-bb263e1648e3,25,,,"[53.6, 64.2]",0,,,,,-1.2882414,,40.0,Right Foot,,,"[56.3, 54.9]",,1.0,Ground Pass,,9.684008,,9.0,Incomplete,,26194.0,Pascal Cygan,,,,,,66.0,Recovery,1,9,From Kick Off,38412.0,Kolo Habib Touré,2.0,Right Back,2,46,Wolverhampton Wanderers,"['487ca1c2-2d08-4c34-80cd-664866a38056', '77b1ea4a-e257-485e-844b-985c38828d74', 'a85015b3-504a-4ea6-8a43-8fa72d5a9ba5']",11,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.927,30,Pass,
,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77b1ea4a-e257-485e-844b-985c38828d74,26,,,"[56.3, 54.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26194.0,Pascal Cygan,5.0,Left Center Back,2,46,Wolverhampton Wanderers,['30384b77-d2e4-4d77-b761-bb263e1648e3'],12,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.768,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,a85015b3-504a-4ea6-8a43-8fa72d5a9ba5,27,,,"[63.8, 25.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,10525.0,Kenny Miller,23.0,Center Forward,2,46,Wolverhampton Wanderers,['30384b77-d2e4-4d77-b761-bb263e1648e3'],12,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:12.768,2,Ball Recovery,
,,,,,,,,,"[61.0, 25.2]",,,,,,,,,,,,,,,1.975728,,,,,,,,,,,,,,,,,,,c7a72bbc-287d-4a10-a484-cf927170a771,28,,,"[63.8, 25.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,10525.0,Kenny Miller,23.0,Center Forward,2,46,Wolverhampton Wanderers,"['1134cd6d-ea90-4ea6-baef-7abd4f8a1f46', 'a85015b3-504a-4ea6-8a43-8fa72d5a9ba5', 'f1dfb56f-327a-407f-ac2d-baedaf2fd565']",12,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:12.768,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,,,,1.096919,,,,,,,,,,,,,,,,,,,1134cd6d-ea90-4ea6-baef-7abd4f8a1f46,29,,,"[56.0, 56.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,9.0,Right Defensive Midfield,2,46,Wolverhampton Wanderers,['c7a72bbc-287d-4a10-a484-cf927170a771'],12,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.833,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,0.772174,,,,,,,,,,,,,,,,,,,f1dfb56f-327a-407f-ac2d-baedaf2fd565,30,,,"[61.0, 25.2]",0,,,,,3.0903554,,40.0,Right Foot,,,"[53.2, 25.6]",,1.0,Ground Pass,,7.81025,,,,,15405.0,Paul Ince,,,,,,,,1,9,From Kick Off,10525.0,Kenny Miller,23.0,Center Forward,2,46,Wolverhampton Wanderers,['1d7be784-1e1e-41de-8d3d-abf7f3bc67b3'],14,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:14.743,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1d7be784-1e1e-41de-8d3d-abf7f3bc67b3,31,,,"[53.2, 25.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15405.0,Paul Ince,10.0,Center Defensive Midfield,2,46,Wolverhampton Wanderers,['f1dfb56f-327a-407f-ac2d-baedaf2fd565'],15,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:15.516,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,0.700708,,,,,,,,,,,,,,,,,,,7cffe53a-ae78-4d0d-a871-114d044ec352,32,,,"[53.2, 26.2]",0,,,,,0.037020117,,40.0,Right Foot,,,"[64.0, 26.6]",,1.0,Ground Pass,,10.8074045,,,,,10525.0,Kenny Miller,,,,,,,,1,9,From Kick Off,15405.0,Paul Ince,10.0,Center Defensive Midfield,2,46,Wolverhampton Wanderers,['97b0ea72-7f49-455d-9438-1acb9e723259'],15,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:15.516,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97b0ea72-7f49-455d-9438-1acb9e723259,33,,,"[64.0, 26.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,10525.0,Kenny Miller,23.0,Center Forward,2,46,Wolverhampton Wanderers,['7cffe53a-ae78-4d0d-a871-114d044ec352'],16,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:16.216,42,Ball Receipt*,
