bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_success_in_play,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_redirect,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bc79a62-2133-4fdc-b452-5f7435cb3f94,21,,,"[46.3, 74.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15754.0,Fredrik Ljungberg,12.0,Right Midfield,2,1,Arsenal,['e01cb09a-705d-4569-be5c-5ea8c18f43e4'],14,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.654,42,Ball Receipt*,
,,,,,,,"[47.3, 73.9]",,,,,,,,,,,,,,,,0.910231,,,,,,,,,,,,,,,,,,,,,03e77771-44bd-44f2-a87b-17fb4df947c5,22,,,"[46.3, 74.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15754.0,Fredrik Ljungberg,12.0,Right Midfield,2,1,Arsenal,"['5bc79a62-2133-4fdc-b452-5f7435cb3f94', '8e9eb3ac-f216-46a2-af46-994abf15d0cd']",14,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.654,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,1.004384,,,,,,,,,,,,,,,,,,,,,8e9eb3ac-f216-46a2-af46-994abf15d0cd,23,,,"[47.3, 73.9]",0,,,,,-1.9747144,,40.0,Right Foot,,,,"[42.0, 61.5]",1.0,Ground Pass,,13.485177,,,,,,24972.0,Ray Parlour,,,,,,,,1,9,From Kick Off,15754.0,Fredrik Ljungberg,12.0,Right Midfield,2,1,Arsenal,['ecbace34-865d-464a-90a6-46fc906a24f1'],15,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:15.564,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecbace34-865d-464a-90a6-46fc906a24f1,24,,,"[42.0, 61.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,11.0,Left Defensive Midfield,2,1,Arsenal,['8e9eb3ac-f216-46a2-af46-994abf15d0cd'],16,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.569,42,Ball Receipt*,
,,,,,,,"[42.0, 61.5]",,,,,,,,,,,,,,,,0.019537,,,,,,,,,,,,,,,,,,,,,ad12f35f-96c1-4c6a-8955-6cde5d5875e3,25,,,"[42.0, 61.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,11.0,Left Defensive Midfield,2,1,Arsenal,"['2aa1eaf3-2f16-428b-8646-32d428f3b27e', 'ecbace34-865d-464a-90a6-46fc906a24f1']",16,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.569,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,1.063887,,,,,,,,,,,,,,,,,,,,,2aa1eaf3-2f16-428b-8646-32d428f3b27e,26,,,"[42.0, 61.5]",0,,,,,2.173473,,40.0,Right Foot,,,,"[34.5, 72.4]",1.0,Ground Pass,,13.231024,,,,,,40222.0,Laureano Bisan-Etame Mayer,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,11.0,Left Defensive Midfield,2,1,Arsenal,['c01d63c8-7271-4697-b83f-20fd66ed7d88'],16,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.588,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c01d63c8-7271-4697-b83f-20fd66ed7d88,27,,,"[34.5, 72.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['2aa1eaf3-2f16-428b-8646-32d428f3b27e'],17,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.652,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,1.40872,,,,,,,,,,,,,,,,,,,,,26919749-c17e-485c-a613-db9ba3154ea0,28,,,"[34.3, 72.4]",0,,,,,-1.7028898,,40.0,Right Foot,,,,"[32.4, 58.1]",2.0,Low Pass,,14.425672,,,9.0,Incomplete,,38412.0,Kolo Habib Touré,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,"['77438eca-c56b-460d-b11d-dacbce9d1291', 'ff5f2af2-2c48-4261-9e36-c42c10a2794e']",17,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.652,30,Pass,
,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff5f2af2-2c48-4261-9e36-c42c10a2794e,29,,,"[27.4, 56.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,['26919749-c17e-485c-a613-db9ba3154ea0'],19,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:19.061,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,77438eca-c56b-460d-b11d-dacbce9d1291,30,,,"[87.7, 22.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40409.0,Junichi Inamoto,15.0,Left Center Midfield,2,1,Arsenal,['26919749-c17e-485c-a613-db9ba3154ea0'],19,,,,,,,,,,,,,,,,,,,,,,,,55,Fulham,00:00:19.061,2,Ball Recovery,
