50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,2.318131,,,,,,,,,,,,,,,,,,,,0a12a74a-2d40-4d32-9b1e-7505a0810226,21,,,"[43.3, 33.6]",0,,,,,-2.1102786,,38.0,Left Foot,,,,"[33.9, 17.9]",1.0,Ground Pass,,18.298906,,,,,,40391.0,Ricardo Wayne Gardner,,,,,,,,,1,7,From Goal Kick,40390.0,Simon Charlton,5.0,Left Center Back,3,328,Bolton Wanderers,['026402ad-deb8-484c-9f5a-5d587cfc9b9b'],41,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:41.301,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,026402ad-deb8-484c-9f5a-5d587cfc9b9b,22,,,"[33.9, 17.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,40391.0,Ricardo Wayne Gardner,6.0,Left Back,3,328,Bolton Wanderers,['0a12a74a-2d40-4d32-9b1e-7505a0810226'],43,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:43.620,42,Ball Receipt*,
,,,,,,,"[33.9, 17.9]",,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,2369ccf9-8d16-4d42-962b-3ca71248bad4,23,,,"[33.9, 17.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,40391.0,Ricardo Wayne Gardner,6.0,Left Back,3,328,Bolton Wanderers,"['026402ad-deb8-484c-9f5a-5d587cfc9b9b', 'ad38c6e2-4125-4a24-b8e3-b13f0dda784e']",43,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:43.620,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,1.452906,,,,,,,,,,,,,,,,,,,,ad38c6e2-4125-4a24-b8e3-b13f0dda784e,24,,,"[33.9, 17.9]",0,,,,,-0.44625807,,38.0,Left Foot,,,,"[57.1, 6.8]",1.0,Ground Pass,,25.71867,,,,,,15073.0,Youri Djorkaeff,,,,,,,,,1,7,From Goal Kick,40391.0,Ricardo Wayne Gardner,6.0,Left Back,3,328,Bolton Wanderers,['6c3c0be4-4861-41df-b2b7-370239db0ebe'],43,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:43.660,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6c3c0be4-4861-41df-b2b7-370239db0ebe,25,,,"[57.1, 6.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,15073.0,Youri Djorkaeff,16.0,Left Midfield,3,328,Bolton Wanderers,['ad38c6e2-4125-4a24-b8e3-b13f0dda784e'],45,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:45.113,42,Ball Receipt*,
,,,,,,,"[66.4, 10.4]",,,,,,,,,,,,,,,,,1.500535,,,,,,,,,,,,,,,,,,,,17ad7a56-c653-439d-bbf2-d0f6c1355524,26,,,"[57.1, 6.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,15073.0,Youri Djorkaeff,16.0,Left Midfield,3,328,Bolton Wanderers,"['647f2567-1c85-40d0-94e3-38bb4b77c99a', '6c3c0be4-4861-41df-b2b7-370239db0ebe']",45,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:45.113,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,0.765341,,,,,,,,,,,,,,,,,,,,647f2567-1c85-40d0-94e3-38bb4b77c99a,27,,,"[66.4, 10.4]",0,,,,,0.58452433,,40.0,Right Foot,,,,"[79.7, 19.2]",2.0,Low Pass,,15.947727,,,,,,40388.0,Kevin Cyril Davies,,,,,,,,,1,7,From Goal Kick,15073.0,Youri Djorkaeff,16.0,Left Midfield,3,328,Bolton Wanderers,['0184705b-01f9-43db-af0a-9b747c10ad88'],46,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:46.613,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,0.343118,,,,,,,,,,,,,,,,,,,,e1404258-9495-4769-8bbb-b9ca49cd9eac,28,,,"[39.0, 60.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",3.0,Right Center Back,3,328,Bolton Wanderers,"['0184705b-01f9-43db-af0a-9b747c10ad88', '3eaead33-c2f1-4d31-ad19-caa4ca7cf701']",47,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:47.298,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0184705b-01f9-43db-af0a-9b747c10ad88,29,,,"[79.7, 19.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,40388.0,Kevin Cyril Davies,23.0,Center Forward,3,328,Bolton Wanderers,"['647f2567-1c85-40d0-94e3-38bb4b77c99a', 'e1404258-9495-4769-8bbb-b9ca49cd9eac']",47,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:47.378,42,Ball Receipt*,True
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,3eaead33-c2f1-4d31-ad19-caa4ca7cf701,30,,,"[79.7, 19.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,From Goal Kick,40388.0,Kevin Cyril Davies,23.0,Center Forward,3,328,Bolton Wanderers,"['0b934f3d-857e-4f1f-8dcf-3a8fdd9d6189', 'e1404258-9495-4769-8bbb-b9ca49cd9eac']",47,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:47.378,3,Dispossessed,True
