ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272a9482-b507-4d87-b861-9f8b7dacb1c7,21,,,"[87.0, 29.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40301.0,Mikael Forssell,23.0,Center Forward,2,54,Birmingham City,"['7e6662a7-b750-48e2-9705-2afc43d8cac5', 'd54b181f-a548-4e02-859b-aa91e4b5d250']",11,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:11.951,42,Ball Receipt*,True
,,,,,"[86.8, 29.4]",,,,,,,,,,,,,,,,0.895849,,,,,,,,,,,,,,,,,,,,,a926e8cf-debe-4302-b806-f4c05fca54e9,22,,,"[87.0, 29.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40301.0,Mikael Forssell,23.0,Center Forward,2,54,Birmingham City,"['272a9482-b507-4d87-b861-9f8b7dacb1c7', '711bb21b-a98c-4cf5-9859-14aa6102f30d', '7e6662a7-b750-48e2-9705-2afc43d8cac5']",11,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:11.951,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,711bb21b-a98c-4cf5-9859-14aa6102f30d,23,,,"[86.8, 29.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40301.0,Mikael Forssell,23.0,Center Forward,2,54,Birmingham City,['2392b3fb-a51c-4dfd-834d-985b5e8bdaaa'],12,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:12.847,3,Dispossessed,True
,,,,,,,,,,,,True,,,,,4.0,Won,11.0,Tackle,0.0,,,,,,,,,,,,,,,,,,,,,2392b3fb-a51c-4dfd-834d-985b5e8bdaaa,24,,,"[33.3, 50.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,26194.0,Pascal Cygan,5.0,Left Center Back,3,1,Arsenal,['711bb21b-a98c-4cf5-9859-14aa6102f30d'],12,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.847,4,Duel,True
,,,,,"[34.8, 52.1]",,,,,,,,,,,,,,,,1.958825,,,,,,,,,,,,,,,,,,,,,8e7fff6c-5210-4117-8b2c-e295d9437cc3,25,,,"[33.3, 50.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,26194.0,Pascal Cygan,5.0,Left Center Back,3,1,Arsenal,"['0e3dfe55-57f2-47d0-9364-68663a90d4b3', '2392b3fb-a51c-4dfd-834d-985b5e8bdaaa', '3f2eb934-8e18-4647-ae8d-6ccc2f07a676']",12,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.847,43,Carry,True
,,,,,,,,,,,,True,,,,,,,,,0.571318,,,,,,,,,,,,,,,,,,,,,3f2eb934-8e18-4647-ae8d-6ccc2f07a676,26,,,"[82.9, 25.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40302.0,David Dunn,19.0,Center Attacking Midfield,3,1,Arsenal,"['0e3dfe55-57f2-47d0-9364-68663a90d4b3', '8e7fff6c-5210-4117-8b2c-e295d9437cc3']",14,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:14.324,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,1.413774,,,,,,,,,,,,,,,,,,,,,0e3dfe55-57f2-47d0-9364-68663a90d4b3,27,,,"[34.8, 52.1]",0,,,,,-0.081216305,,38.0,Left Foot,,,,"[52.0, 50.7]",,2.0,Low Pass,,17.256884,,,,15042.0,Dennis Bergkamp,,,,,,,,,1,1,Regular Play,26194.0,Pascal Cygan,5.0,Left Center Back,3,1,Arsenal,"['3f2eb934-8e18-4647-ae8d-6ccc2f07a676', '889685ed-4580-4912-907a-80f8e183e223']",14,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.806,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889685ed-4580-4912-907a-80f8e183e223,28,,,"[52.0, 50.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15042.0,Dennis Bergkamp,22.0,Right Center Forward,3,1,Arsenal,['0e3dfe55-57f2-47d0-9364-68663a90d4b3'],16,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.219,42,Ball Receipt*,
,,,,,"[54.7, 42.0]",,,,,,,,,,,,,,,,1.715982,,,,,,,,,,,,,,,,,,,,,f640d2f9-bb3a-4e27-a5d3-4ecac8002300,29,,,"[52.0, 50.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15042.0,Dennis Bergkamp,22.0,Right Center Forward,3,1,Arsenal,"['23bfb43f-11ba-4ebf-8bc1-1a293f2f3de9', '889685ed-4580-4912-907a-80f8e183e223']",16,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.219,43,Carry,
,,,,,,,,,,,,,,,,,,,,,3.823453,,,,,,,,,,,,,,,,,,,,,23bfb43f-11ba-4ebf-8bc1-1a293f2f3de9,30,,,"[54.7, 42.0]",0,,,,,-0.6909689,,38.0,Left Foot,,,,"[99.2, 5.2]",,2.0,Low Pass,,57.745045,,,,15516.0,Thierry Henry,,,,,,,,,1,1,Regular Play,15042.0,Dennis Bergkamp,22.0,Right Center Forward,3,1,Arsenal,['d02acb7f-8c30-43dc-a8da-bdf885e56262'],17,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.935,30,Pass,
