ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637aadb-9d00-4215-9df1-9a695e4945c7,21,,,"[51.8, 7.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,8.0,Left Wing Back,2,1,Arsenal,['6c437e1a-2427-433e-8b57-832e040bd074'],13,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.364,42,Ball Receipt*,
,,,"[52.6, 9.3]",,,,,,,,,,,,,,,1.151954,,,,,,,,,,,,,,,,,,,,,c9b0dd72-ca83-4b70-a6e0-dfaaa0c15d9e,22,,,"[51.8, 7.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,8.0,Left Wing Back,2,1,Arsenal,"['2637aadb-9d00-4215-9df1-9a695e4945c7', 'dcb4783e-4f0b-4b5c-8aaa-cb0581f151de']",13,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.364,43,Carry,
,,,,,,,,,,,,,,,,,,1.483044,,,,,,,,,,,,,,,,,,,,,dcb4783e-4f0b-4b5c-8aaa-cb0581f151de,23,,,"[52.6, 9.3]",0,,,,,1.4003357,,40.0,Right Foot,,,"[54.7, 21.5]",,1.0,Ground Pass,12.379418,,,,,,26014.0,Eduardo César Daude Gaspar,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,8.0,Left Wing Back,2,1,Arsenal,['f0eb420c-e50e-40fd-a2ca-09671bee3080'],14,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.516,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f0eb420c-e50e-40fd-a2ca-09671bee3080,24,,,"[54.7, 21.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26014.0,Eduardo César Daude Gaspar,15.0,Left Center Midfield,2,1,Arsenal,['dcb4783e-4f0b-4b5c-8aaa-cb0581f151de'],15,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:15.999,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,1.323018,,,,,,,,,,,,,,,,,,,,,5ef76eb3-b48f-472c-abb1-f11de8c7867a,25,,,"[54.7, 21.5]",0,,,,,1.6292093,,38.0,Left Foot,,,"[53.7, 38.6]",,1.0,Ground Pass,17.129215,,,,,,15515.0,Patrick Vieira,,,,,,,,1,9,From Kick Off,26014.0,Eduardo César Daude Gaspar,15.0,Left Center Midfield,2,1,Arsenal,['89c5fa31-b000-4d00-b380-4d3f2317420f'],15,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:15.999,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89c5fa31-b000-4d00-b380-4d3f2317420f,26,,,"[53.7, 38.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,10.0,Center Defensive Midfield,2,1,Arsenal,['5ef76eb3-b48f-472c-abb1-f11de8c7867a'],17,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.322,42,Ball Receipt*,
,,,"[52.9, 45.4]",,,,,,,,,,,,,,,0.971224,,,,,,,,,,,,,,,,,,,,,3e4e77f2-f27e-4886-a489-88aec40c4ced,27,,,"[53.7, 38.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,10.0,Center Defensive Midfield,2,1,Arsenal,"['535912b7-f342-4491-928f-bce72d60c3b2', '74a9a5fa-83e0-4214-b183-11201096931f', '89c5fa31-b000-4d00-b380-4d3f2317420f']",17,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.322,43,Carry,True
,,,,,,,,,,,,,,,,,,1.321133,,,,,,,,,,,,,,,,,,,,,535912b7-f342-4491-928f-bce72d60c3b2,28,,,"[64.6, 38.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40261.0,"Gérémi Sorele N""Djitap Fotso",16.0,Left Midfield,2,1,Arsenal,"['1cb08dba-1d53-4d22-9c0d-9d05a5141cb5', '3e4e77f2-f27e-4886-a489-88aec40c4ced', '74a9a5fa-83e0-4214-b183-11201096931f']",17,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:17.511,17,Pressure,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,74a9a5fa-83e0-4214-b183-11201096931f,29,,,"[52.9, 45.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,10.0,Center Defensive Midfield,2,1,Arsenal,['535912b7-f342-4491-928f-bce72d60c3b2'],18,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:18.294,38,Miscontrol,True
,,,,,,,,,,,,,,,,,,0.594766,,,,,,,,,,,,,,,,,,,,,1cb08dba-1d53-4d22-9c0d-9d05a5141cb5,30,,,"[50.4, 49.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,10.0,Center Defensive Midfield,2,1,Arsenal,"['535912b7-f342-4491-928f-bce72d60c3b2', '624d29d3-0938-4032-915a-9f6d7d972043', 'd151423c-3288-4f37-9a80-1bba68a1efee']",18,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:18.666,17,Pressure,True
