ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574c19f5-1367-41d3-88b2-df31129e9097,27,,,"[99.3, 22.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,19312.0,Robert Pirès ,16.0,Left Midfield,3,1,Arsenal,['4d462615-c1d1-49d4-a7e8-84da8b470cbb'],24,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:24.870,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,b74d4c0b-b63f-4d77-8f0c-8b78d7c5e629,28,,,"[25.5, 63.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40370.0,Lucas Radebe,3.0,Right Center Back,3,1,Arsenal,['4d462615-c1d1-49d4-a7e8-84da8b470cbb'],24,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:24.870,6,Block,
,,True,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,10a7f76f-0476-47c3-8d46-9a5304e3b55b,29,,,"[91.0, 17.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15516.0,Thierry Henry,24.0,Left Center Forward,3,1,Arsenal,,25,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:25.580,2,Ball Recovery,
,,,,,,,,,,,,,,,,,,,,0.23023,,,,,,,,,,,,,,,,,,,348a571b-147f-49fd-a389-573fc2cedda4,30,,,"[22.3, 59.5]",0,,,,,0.17759617,,40.0,Right Foot,,,"[26.2, 60.2]",,1.0,Ground Pass,,3.9623225,,,,,40371.0,Michael Duberry,,,,,,,66.0,Recovery,1,1,Regular Play,40370.0,Lucas Radebe,3.0,Right Center Back,4,101,Leeds United,['cc2c0d35-4c1c-494e-a38c-1f5235fe0139'],26,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:26.536,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cc2c0d35-4c1c-494e-a38c-1f5235fe0139,31,,,"[26.2, 60.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40371.0,Michael Duberry,13.0,Right Center Midfield,4,101,Leeds United,['348a571b-147f-49fd-a389-573fc2cedda4'],26,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:26.767,42,Ball Receipt*,
,,,,"[30.0, 60.8]",,,,,,,,,,,,,,,,2.761055,,,,,,,,,,,,,,,,,,,c16293bf-e346-4d71-beab-f44f2150629d,32,,,"[26.2, 60.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40371.0,Michael Duberry,13.0,Right Center Midfield,4,101,Leeds United,"['81e0f4d9-a136-46cc-8198-d27c720864f0', 'cc2c0d35-4c1c-494e-a38c-1f5235fe0139']",26,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:26.767,43,Carry,
,,,,,,,,,,,,,,,,,,,,1.340768,,,,,,,,,,,,,,,,,,,81e0f4d9-a136-46cc-8198-d27c720864f0,33,,,"[30.0, 60.8]",0,,,,,1.181189,,38.0,Left Foot,,,"[36.2, 75.9]",,1.0,Ground Pass,,16.323296,,,,,26649.0,Jermaine Pennant,,,,,,,,,1,1,Regular Play,40371.0,Michael Duberry,13.0,Right Center Midfield,4,101,Leeds United,['fb4df2f7-0cf4-4096-95a6-b0628cbbdd02'],29,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:29.528,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fb4df2f7-0cf4-4096-95a6-b0628cbbdd02,34,,,"[36.2, 75.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,26649.0,Jermaine Pennant,12.0,Right Midfield,4,101,Leeds United,['81e0f4d9-a136-46cc-8198-d27c720864f0'],30,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:30.868,42,Ball Receipt*,
,,,,"[36.2, 62.4]",,,,,,,,,,,,,,,,2.344402,,,,,,,,,,,,,,,,,,,ce328933-b286-49de-af70-1d3707b303f3,35,,,"[36.2, 75.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,26649.0,Jermaine Pennant,12.0,Right Midfield,4,101,Leeds United,"['349e3adc-0b3e-409e-a0fe-7c4acfd9468e', '82545efb-5439-457f-925f-d1d2d72ed123', 'fb4df2f7-0cf4-4096-95a6-b0628cbbdd02']",30,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:30.868,43,Carry,True
,,,,,,,,,,,,,,,,,,,,1.015488,,,,,,,,,,,,,,,,,,,82545efb-5439-457f-925f-d1d2d72ed123,36,,,"[76.5, 13.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,4,101,Leeds United,"['349e3adc-0b3e-409e-a0fe-7c4acfd9468e', 'ce328933-b286-49de-af70-1d3707b303f3']",32,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:32.490,17,Pressure,
