ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30c4ce64-d0ba-4455-a5f4-1080473fe7e5,21,,,"[32.4, 61.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,['57d5a2a8-d14b-4bfd-861c-e38022e27a9c'],12,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.692,42,Ball Receipt*,
,,,,,"[31.8, 61.9]",,,,,,,,,,,,,,,,0.812067,,,,,,,,,,,,,,,,,,,,,,5e1e851d-2623-4e47-a041-4ca43d134d2e,22,,,"[32.4, 61.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,"['30c4ce64-d0ba-4455-a5f4-1080473fe7e5', '8a9df63d-c423-4921-a87a-95f4cfa96e5a', 'a7c5ba57-1877-4651-b2dc-ad08a30f3700']",12,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.692,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,0.783793,,,,,,,,,,,,,,,,,,,,,,a7c5ba57-1877-4651-b2dc-ad08a30f3700,23,,,"[82.0, 14.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40283.0,Nick Chadwick,24.0,Left Center Forward,2,1,Arsenal,"['5e1e851d-2623-4e47-a041-4ca43d134d2e', '8a9df63d-c423-4921-a87a-95f4cfa96e5a']",12,,,,,,,,,,,,,,,,,,,,,,,29,Everton,00:00:12.808,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,2.106311,,,,,,,,,,,,,,,,,,,,,,8a9df63d-c423-4921-a87a-95f4cfa96e5a,24,,,"[31.8, 61.9]",0,,,,-2.3702123,,40.0,Right Foot,,,,"[10.1, 40.8]",,1.0,Ground Pass,,30.267143,,,,,20015.0,Jens Lehmann,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,"['a7c5ba57-1877-4651-b2dc-ad08a30f3700', 'd8e12ae8-9745-4aad-8c23-fd8b622ddf9e']",13,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.504,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d8e12ae8-9745-4aad-8c23-fd8b622ddf9e,25,,,"[10.1, 40.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,20015.0,Jens Lehmann,1.0,Goalkeeper,2,1,Arsenal,['8a9df63d-c423-4921-a87a-95f4cfa96e5a'],15,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:15.610,42,Ball Receipt*,
,,,,,"[11.5, 33.6]",,,,,,,,,,,,,,,,2.207065,,,,,,,,,,,,,,,,,,,,,,9e752a52-70c0-4175-99b3-3b96c4660c03,26,,,"[10.1, 40.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,20015.0,Jens Lehmann,1.0,Goalkeeper,2,1,Arsenal,"['550da6df-7f24-40ad-8637-e2d96cd290e9', 'd8e12ae8-9745-4aad-8c23-fd8b622ddf9e']",15,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:15.610,43,Carry,
,,,,,,,,,,,,,,,,,,,,,2.539613,,,,,,,,,,,,,,,,,,,,,,550da6df-7f24-40ad-8637-e2d96cd290e9,27,,,"[11.5, 33.6]",0,,,,-0.06241881,,38.0,Left Foot,,,,"[62.7, 30.4]",,3.0,High Pass,,51.299904,,,,,15515.0,Patrick Vieira,,,,,,,,,1,9,From Kick Off,20015.0,Jens Lehmann,1.0,Goalkeeper,2,1,Arsenal,['99657eda-c95f-4a21-a350-97a81625ae1c'],17,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.817,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99657eda-c95f-4a21-a350-97a81625ae1c,28,,,"[62.7, 30.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,2,1,Arsenal,['550da6df-7f24-40ad-8637-e2d96cd290e9'],20,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:20.357,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,2.00356,,,,,,,,,,,,,,,,,,,,,,5f441d4a-27cd-4a32-8a2c-7a4ff913d59f,29,,,"[62.7, 30.4]",0,,,True,-0.06386651,,,,,,,"[79.9, 29.3]",,3.0,High Pass,,17.235138,,9.0,Incomplete,,15516.0,Thierry Henry,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,2,1,Arsenal,"['2ec1ce21-9c0e-4dcc-a380-ce8fe59b5361', '5d4ee1fe-699d-4c99-9473-9402e81980fa', '77af5ae6-7e74-43bd-8f22-a0ec54645d0f']",20,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:20.357,30,Pass,True
,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,0.0,,,,,,,,,,,,,,,,,,,,,,5d4ee1fe-699d-4c99-9473-9402e81980fa,30,,,"[57.4, 49.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,20189.0,Tobias Linderoth,13.0,Right Center Midfield,2,1,Arsenal,['5f441d4a-27cd-4a32-8a2c-7a4ff913d59f'],20,,,,,,,,,,,,,,,,,,,,,,,29,Everton,00:00:20.357,4,Duel,True
