bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,injury_stoppage_in_chain,interception_outcome_id,interception_outcome_name,location,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height_id,pass_height_name,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988c67a2-1b93-4a48-866f-9403fb78bbc0,21,,,,"[44.6, 50.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,24972.0,Ray Parlour,12.0,Right Midfield,3,1,Arsenal,['35a1f5db-fe08-4369-9c5c-4e4c2afc207c'],9,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.062,42,Ball Receipt*,
,,,,,"[50.5, 58.2]",,,,,,,,,,,,,,,,1.314539,,,,,,,,,,,,,,,,,,,,,,7a722df2-7157-4e2b-8930-28c0bd860272,22,,,,"[44.6, 50.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,24972.0,Ray Parlour,12.0,Right Midfield,3,1,Arsenal,"['8dc693d1-6b58-418b-a92e-7d8bbfdfa754', '988c67a2-1b93-4a48-866f-9403fb78bbc0', '9bce87e3-342d-4c7b-80e6-ba7b7d1b3235']",9,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.062,43,Carry,True
,,,,,,,,,,,,True,,,,,,,,,0.574412,,,,,,,,,,,,,,,,,,,,,,9bce87e3-342d-4c7b-80e6-ba7b7d1b3235,23,,,,"[71.0, 25.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,20175.0,Ryan Giggs,20.0,Left Attacking Midfield,3,1,Arsenal,"['7a722df2-7157-4e2b-8930-28c0bd860272', '8dc693d1-6b58-418b-a92e-7d8bbfdfa754']",9,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:09.903,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,1.656322,,,,,,,,,,,,,,,,,,,,,,8dc693d1-6b58-418b-a92e-7d8bbfdfa754,24,,,,"[50.5, 58.2]",0,,,,2.0070536,,40.0,Right Foot,,,,"[43.6, 73.0]",1.0,Ground Pass,16.329422,,,,,40222.0,Laureano Bisan-Etame Mayer,,,,,,,,,1,1,Regular Play,24972.0,Ray Parlour,12.0,Right Midfield,3,1,Arsenal,"['9bce87e3-342d-4c7b-80e6-ba7b7d1b3235', 'bf38fe4f-bf88-42b7-84e7-628c67e1f77d']",10,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.376,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bf38fe4f-bf88-42b7-84e7-628c67e1f77d,25,,,,"[43.6, 73.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,3,1,Arsenal,['8dc693d1-6b58-418b-a92e-7d8bbfdfa754'],12,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.032,42,Ball Receipt*,
,,,,,"[46.8, 75.2]",,,,,,,,,,,,,,,,1.968644,,,,,,,,,,,,,,,,,,,,,,a9decb23-26e4-49e2-baba-656ae3c2f2cf,26,,,,"[43.6, 73.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,3,1,Arsenal,"['bf38fe4f-bf88-42b7-84e7-628c67e1f77d', 'fa3e32b9-365b-4cbf-9c1a-786522d142a2']",12,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.032,43,Carry,
,,,,,,,,,,,,,,,,,,,,,0.912258,,,,,,,,,,,,,,,,,,,,,,fa3e32b9-365b-4cbf-9c1a-786522d142a2,27,,,,"[46.8, 75.2]",0,,,,0.10352468,,40.0,Right Foot,,,,"[62.2, 76.8]",2.0,Low Pass,15.482894,,,,,24972.0,Ray Parlour,,,,,,,,,1,1,Regular Play,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,3,1,Arsenal,['57c99462-0102-4c77-beb3-e78e57f83ba6'],14,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.001,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57c99462-0102-4c77-beb3-e78e57f83ba6,28,,,,"[62.2, 76.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,24972.0,Ray Parlour,12.0,Right Midfield,3,1,Arsenal,['fa3e32b9-365b-4cbf-9c1a-786522d142a2'],14,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.913,42,Ball Receipt*,
,,,,,"[62.2, 76.8]",,,,,,,,,,,,,,,,0.079999,,,,,,,,,,,,,,,,,,,,,,f7b4a3d3-ce25-44b0-ad08-1ab235f16e29,29,,,,"[62.2, 76.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,24972.0,Ray Parlour,12.0,Right Midfield,3,1,Arsenal,"['57c99462-0102-4c77-beb3-e78e57f83ba6', '6b367730-2c32-48a1-a2f4-a82e8766299e']",14,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.913,43,Carry,
,,,,,,,,,,,,,,,,,,,,,2.059555,,,,,,,,,,,,,,,,,,,,,,6b367730-2c32-48a1-a2f4-a82e8766299e,30,,,,"[62.2, 76.8]",0,,,,-2.0722167,,40.0,Right Foot,,,,"[54.8, 63.3]",3.0,High Pass,15.395129,,,,,40221.0,Gilberto Aparecido da Silva,,,,,,,,,1,1,Regular Play,24972.0,Ray Parlour,12.0,Right Midfield,3,1,Arsenal,['56039d55-9dbe-43d0-8cbc-20ff5d193ab8'],14,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.993,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56039d55-9dbe-43d0-8cbc-20ff5d193ab8,31,,,,"[54.8, 63.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,3,1,Arsenal,['6b367730-2c32-48a1-a2f4-a82e8766299e'],17,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.053,42,Ball Receipt*,
,,,,,"[54.8, 63.5]",,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,91bc3992-fb36-4524-bb57-9e0e735416ba,32,,,,"[54.8, 63.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,3,1,Arsenal,"['56039d55-9dbe-43d0-8cbc-20ff5d193ab8', '98a3b679-9c03-42ba-ae01-9bfde3f1a60c']",17,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.053,43,Carry,
,,,,,,,,,,,,,,,,,,,,,0.716602,,,,,,,,,,,,,,,,,,,,,,98a3b679-9c03-42ba-ae01-9bfde3f1a60c,33,,,,"[54.8, 63.5]",0,,,,-0.16859694,,38.0,Left Foot,,,,"[64.2, 61.9]",1.0,Ground Pass,9.535198,,,,,15042.0,Dennis Bergkamp,,,,,,,,,1,1,Regular Play,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,3,1,Arsenal,['f9cb9379-f9b5-4537-bf48-a0cd8144553c'],17,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.093,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f9cb9379-f9b5-4537-bf48-a0cd8144553c,34,,,,"[64.2, 61.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15042.0,Dennis Bergkamp,22.0,Right Center Forward,3,1,Arsenal,['98a3b679-9c03-42ba-ae01-9bfde3f1a60c'],17,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.810,42,Ball Receipt*,
,,,,,"[64.2, 61.9]",,,,,,,,,,,,,,,,0.039999,,,,,,,,,,,,,,,,,,,,,,b0867e15-eaa4-448f-88af-fed75f755aa9,35,,,,"[64.2, 61.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15042.0,Dennis Bergkamp,22.0,Right Center Forward,3,1,Arsenal,"['52f3be1b-f271-4c29-9152-7cd87da09d80', 'f9cb9379-f9b5-4537-bf48-a0cd8144553c']",17,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.810,43,Carry,
