ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,"[61.9, 1.0]",,,,,,,,,,,,,,,0.107008,,,,,,,,,,,,,,,,,,,,,0791ec5d-c860-41e3-b216-8a0dd54fc181,21,,,"[62.4, 1.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,16.0,Left Midfield,2,1,Arsenal,"['29a95175-f8b2-454f-bebc-c09cde3542db', '57484f41-acb2-4337-8a14-d32535a9f97d', 'bf448169-b21a-4981-9199-d0fa17633312']",8,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.057,43,Carry,True
,,,,,,,,,,,,,,,,,,,,1.481145,,,,,,,,,,,,,,,,,,,,,29a95175-f8b2-454f-bebc-c09cde3542db,22,,,"[61.9, 1.0]",0,,,,,3.127509,,40.0,Right Foot,,,,"[47.7, 1.2]",,1.0,Ground Pass,,14.201408,,,,,12529.0,Ashley Cole,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,16.0,Left Midfield,2,1,Arsenal,"['bf448169-b21a-4981-9199-d0fa17633312', 'c5693b38-7eb4-4e5d-8556-34fdd41cf518']",8,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.164,30,Pass,True
,,,,,,,,,,,,,,,,,,,,0.444731,,,,,,,,,,,,,,,,,,,,,5a5ceac7-8378-4025-9494-43f6819ab10d,23,,,"[69.5, 77.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40388.0,Kevin Cyril Davies,23.0,Center Forward,2,1,Arsenal,"['67e4f098-180e-4eb7-9305-87d3a927470c', 'c5693b38-7eb4-4e5d-8556-34fdd41cf518', 'd41279c1-d5fd-47bd-aa19-a6a84508f9cf']",9,,,,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:09.431,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c5693b38-7eb4-4e5d-8556-34fdd41cf518,24,,,"[47.7, 1.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,"['29a95175-f8b2-454f-bebc-c09cde3542db', '5a5ceac7-8378-4025-9494-43f6819ab10d']",9,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.645,42,Ball Receipt*,True
,,,,,"[47.7, 1.4]",,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,67e4f098-180e-4eb7-9305-87d3a927470c,25,,,"[47.7, 1.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,"['5a5ceac7-8378-4025-9494-43f6819ab10d', 'c5693b38-7eb4-4e5d-8556-34fdd41cf518', 'd41279c1-d5fd-47bd-aa19-a6a84508f9cf']",9,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.645,43,Carry,True
,,,,,,,,,,,,,,,,,,,,1.386216,,,,,,,,,,,,,,,,,,,,,d41279c1-d5fd-47bd-aa19-a6a84508f9cf,26,,,"[47.7, 1.4]",0,,,,,2.252567,,38.0,Left Foot,,,,"[42.1, 8.3]",,1.0,Ground Pass,,8.886507,,,,,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,"['5a5ceac7-8378-4025-9494-43f6819ab10d', 'b68315c4-8caa-42c8-9b38-ab0bd14caed1']",9,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.725,30,Pass,True
,,,,,,,,,,,,,,,,,,,,1.244526,,,,,,,,,,,,,,,,,,,,,503f4e4d-6540-4ea0-86a1-8396640ac0eb,27,,,"[63.9, 52.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,9353.0,Nicky Hunt,2.0,Right Back,2,1,Arsenal,"['b68315c4-8caa-42c8-9b38-ab0bd14caed1', 'e77797c8-b929-4bbe-8d22-b25d727608a2']",10,,,,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:10.241,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b68315c4-8caa-42c8-9b38-ab0bd14caed1,28,,,"[42.1, 8.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,"['503f4e4d-6540-4ea0-86a1-8396640ac0eb', 'd41279c1-d5fd-47bd-aa19-a6a84508f9cf']",11,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.111,42,Ball Receipt*,True
,,,,,"[40.1, 13.9]",,,,,,,,,,,,,,,0.857024,,,,,,,,,,,,,,,,,,,,,e77797c8-b929-4bbe-8d22-b25d727608a2,29,,,"[42.1, 8.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,"['503f4e4d-6540-4ea0-86a1-8396640ac0eb', '7ac03cbf-0c08-4e96-b60a-3b9a3176814e', 'b68315c4-8caa-42c8-9b38-ab0bd14caed1']",11,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.111,43,Carry,True
,,,,,,,,,,,,,,,,,,,,0.977254,,,,,,,,,,,,,,,,,,,,,7ac03cbf-0c08-4e96-b60a-3b9a3176814e,30,,,"[40.1, 13.9]",0,,,,,1.7975951,,40.0,Right Foot,,,,"[33.8, 41.2]",,2.0,Low Pass,,28.017494,,,,,38412.0,Kolo Habib Touré,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,['b355276e-ae72-417c-894a-bbb6f5563de0'],11,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.968,30,Pass,
