50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,1.574934,,,,,,,,,,,,,,,,,,,,,,515bb714-9a4d-4bf2-b660-b1417e9cf2db,21,,,"[43.7, 41.0]",0,,,,,1.6041173,,40.0,Right Foot,,,"[43.2, 56.0]",1.0,Ground Pass,,15.008331,,9.0,Incomplete,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,11.0,Left Defensive Midfield,2,1,Arsenal,"['16e99386-6b93-4217-bc09-1ae5c968e88f', 'ec4a1208-0590-4b2f-a5c5-2c2bbfed9f44']",8,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.620,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,16e99386-6b93-4217-bc09-1ae5c968e88f,22,,,"[76.9, 24.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40376.0,Graham Stuart,16.0,Left Midfield,2,1,Arsenal,['515bb714-9a4d-4bf2-b660-b1417e9cf2db'],10,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:10.195,2,Ball Recovery,
,,,,,"[82.0, 26.9]",,,,,,,,,,,,,,,,1.039276,,,,,,,,,,,,,,,,,,,,,,6b92b51e-13a3-4d39-a374-432c8f849545,23,,,"[76.9, 24.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40376.0,Graham Stuart,16.0,Left Midfield,2,1,Arsenal,"['16e99386-6b93-4217-bc09-1ae5c968e88f', 'd773d387-d2b4-4ca4-b791-c91cd7a36a87']",10,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:10.195,43,Carry,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,d773d387-d2b4-4ca4-b791-c91cd7a36a87,24,,,"[82.0, 26.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40376.0,Graham Stuart,16.0,Left Midfield,2,1,Arsenal,,11,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:11.234,38,Miscontrol,
,,,,,,,,,,,,,,,,,,,,,0.44113,,,,,,,,,,,,,,,,,,,,,,5308a56d-56e7-4566-9655-0dda2970e108,25,,,"[84.3, 28.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40376.0,Graham Stuart,16.0,Left Midfield,2,1,Arsenal,"['cdb375e9-820a-4175-b6e9-c17a0f60cd69', 'f558c67d-8a1e-4e7a-8a8e-9f09aaee32e8']",11,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:11.723,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,f558c67d-8a1e-4e7a-8a8e-9f09aaee32e8,26,,,"[35.6, 49.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,11.0,Left Defensive Midfield,2,1,Arsenal,['5308a56d-56e7-4566-9655-0dda2970e108'],11,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.985,2,Ball Recovery,True
,,,,,"[35.6, 49.5]",,,,,,,,,,,,,,,,0.328779,,,,,,,,,,,,,,,,,,,,,,cdb375e9-820a-4175-b6e9-c17a0f60cd69,27,,,"[35.6, 49.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,11.0,Left Defensive Midfield,2,1,Arsenal,"['5308a56d-56e7-4566-9655-0dda2970e108', 'b3bf0b45-0590-4eda-a8df-50ef10bf0cc5', 'cf27fc9b-f227-4c7f-8e18-b5b9ff646446', 'f558c67d-8a1e-4e7a-8a8e-9f09aaee32e8']",11,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.985,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,cf27fc9b-f227-4c7f-8e18-b5b9ff646446,28,,,"[84.5, 30.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40376.0,Graham Stuart,16.0,Left Midfield,2,1,Arsenal,"['b3bf0b45-0590-4eda-a8df-50ef10bf0cc5', 'cdb375e9-820a-4175-b6e9-c17a0f60cd69']",12,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:12.314,22,Foul Committed,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,b3bf0b45-0590-4eda-a8df-50ef10bf0cc5,29,,,"[35.6, 49.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,11.0,Left Defensive Midfield,2,1,Arsenal,['cf27fc9b-f227-4c7f-8e18-b5b9ff646446'],12,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.314,21,Foul Won,True
,,,,,,,,,,,,,,,,,,,,,4.538081,,,,,,,,,,,,,,,,,,,,,,958b2b7a-2f9e-4704-bdee-e43000498403,30,,,"[40.9, 50.0]",0,,,,,0.53430605,,40.0,Right Foot,,,"[91.6, 80.0]",3.0,High Pass,,58.910866,,75.0,Out,,,,,,,,,,62.0,Free Kick,1,3,From Free Kick,38412.0,Kolo Habib Touré,5.0,Left Center Back,3,1,Arsenal,,28,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:28.687,30,Pass,
