50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_shot_saved_off_target,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_outcome_id,pass_outcome_name,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_saved_off_target,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,0.97868,,,,,,,,,,,,,,,,,,,,,e07140a1-88c9-4b61-951e-e270b7f8876d,21,,,"[53.9, 58.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,13.0,Right Center Midfield,2,33,Chelsea,"['52034da7-6a81-4c5d-b7e2-5d78f422c556', '55d4f5ca-68e9-486b-8c3f-c233365af24d', '76515b11-c2c3-4173-8c04-91a9239d09be', '827c3ad2-635d-4732-a9dc-0ed1579006b8']",18,,,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:18.460,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827c3ad2-635d-4732-a9dc-0ed1579006b8,22,,,"[63.3, 21.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40261.0,"Gérémi Sorele N""Djitap Fotso",12.0,Right Midfield,2,33,Chelsea,"['3118a468-916f-4de2-96e4-29a6b5da8a26', 'e07140a1-88c9-4b61-951e-e270b7f8876d']",18,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:18.806,42,Ball Receipt*,True
,,,,,,,"[66.2, 21.9]",,,,,,,,,,,,,,,,0.333458,,,,,,,,,,,,,,,,,,,,,55d4f5ca-68e9-486b-8c3f-c233365af24d,23,,,"[63.3, 21.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40261.0,"Gérémi Sorele N""Djitap Fotso",12.0,Right Midfield,2,33,Chelsea,"['52034da7-6a81-4c5d-b7e2-5d78f422c556', '827c3ad2-635d-4732-a9dc-0ed1579006b8', 'e07140a1-88c9-4b61-951e-e270b7f8876d', 'f9beb66a-d583-4525-bb2c-04a07e681baa']",18,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:18.806,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,f9beb66a-d583-4525-bb2c-04a07e681baa,24,,,"[53.9, 58.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,13.0,Right Center Midfield,2,33,Chelsea,"['52034da7-6a81-4c5d-b7e2-5d78f422c556', '55d4f5ca-68e9-486b-8c3f-c233365af24d', '76515b11-c2c3-4173-8c04-91a9239d09be']",19,,,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:19.140,39,Dribbled Past,
,,,,,,,,,,,,,,,,8.0,Complete,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,52034da7-6a81-4c5d-b7e2-5d78f422c556,25,,,"[66.2, 21.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40261.0,"Gérémi Sorele N""Djitap Fotso",12.0,Right Midfield,2,33,Chelsea,"['e07140a1-88c9-4b61-951e-e270b7f8876d', 'f9beb66a-d583-4525-bb2c-04a07e681baa']",19,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:19.140,14,Dribble,True
,,,,,,,"[68.6, 27.6]",,,,,,,,,,,,,,,,1.515198,,,,,,,,,,,,,,,,,,,,,76515b11-c2c3-4173-8c04-91a9239d09be,26,,,"[66.2, 21.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40261.0,"Gérémi Sorele N""Djitap Fotso",12.0,Right Midfield,2,33,Chelsea,"['16b8908c-bbb8-4d0c-abb4-ebcbae1dc7fd', '52034da7-6a81-4c5d-b7e2-5d78f422c556', '82157854-d7a4-454e-b026-801152b72925', 'e07140a1-88c9-4b61-951e-e270b7f8876d', 'f9beb66a-d583-4525-bb2c-04a07e681baa']",19,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:19.140,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,,,1.026573,,,,,,,,,,,,,,,,,,,,,16b8908c-bbb8-4d0c-abb4-ebcbae1dc7fd,27,,,"[52.3, 53.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26014.0,Eduardo César Daude Gaspar,15.0,Left Center Midfield,2,33,Chelsea,"['76515b11-c2c3-4173-8c04-91a9239d09be', '82157854-d7a4-454e-b026-801152b72925', '911d540e-7639-48ea-973e-da5a2f3786f2']",19,,,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:19.933,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,14e5e078-f4ac-4aed-8493-6e1537d96025,28,,,"[51.5, 52.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26014.0,Eduardo César Daude Gaspar,15.0,Left Center Midfield,2,33,Chelsea,"['82157854-d7a4-454e-b026-801152b72925', '911d540e-7639-48ea-973e-da5a2f3786f2']",20,,,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:20.655,39,Dribbled Past,
,,,,,,,,,,,,,,,,8.0,Complete,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,82157854-d7a4-454e-b026-801152b72925,29,,,"[68.6, 27.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40261.0,"Gérémi Sorele N""Djitap Fotso",12.0,Right Midfield,2,33,Chelsea,"['14e5e078-f4ac-4aed-8493-6e1537d96025', '16b8908c-bbb8-4d0c-abb4-ebcbae1dc7fd']",20,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:20.655,14,Dribble,True
,,,,,,,"[70.4, 27.9]",,,,,,,,,,,,,,,,1.354629,,,,,,,,,,,,,,,,,,,,,911d540e-7639-48ea-973e-da5a2f3786f2,30,,,"[68.6, 27.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40261.0,"Gérémi Sorele N""Djitap Fotso",12.0,Right Midfield,2,33,Chelsea,"['14e5e078-f4ac-4aed-8493-6e1537d96025', '16b8908c-bbb8-4d0c-abb4-ebcbae1dc7fd', '82157854-d7a4-454e-b026-801152b72925', 'e4afb69d-6516-4148-9dca-80fa67badb80']",20,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:20.655,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,,,0.708358,,,,,,,,,,,,,,,,,,,,,e4afb69d-6516-4148-9dca-80fa67badb80,31,,,"[70.4, 27.9]",0,,,,,2.6711884,,38.0,Left Foot,,,,"[64.5, 30.9]",,1.0,Ground Pass,,6.618912,,,20330.0,Frank Lampard,,,,,,,,,1,9,From Kick Off,40261.0,"Gérémi Sorele N""Djitap Fotso",12.0,Right Midfield,2,33,Chelsea,['bfc49f25-ceac-4dd5-9b9e-33df8754bc82'],22,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:22.009,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bfc49f25-ceac-4dd5-9b9e-33df8754bc82,32,,,"[64.5, 30.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,20330.0,Frank Lampard,11.0,Left Defensive Midfield,2,33,Chelsea,['e4afb69d-6516-4148-9dca-80fa67badb80'],22,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:22.718,42,Ball Receipt*,
