50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b8436126-ca74-459d-a0b7-82537d588e33,21,,,"[37.7, 5.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['608aa9d4-6d2f-425b-b1e6-3073c1a68a13'],11,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.638,42,Ball Receipt*,
,,,,,,,"[40.7, 5.0]",,,,,,,,,,,,,,,,1.523387,,,,,,,,,,,,,,,,,,,,70bfed2a-67e4-4610-bbce-820103f3ad65,22,,,"[37.7, 5.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,"['b8436126-ca74-459d-a0b7-82537d588e33', 'f19e1d64-8936-4766-b912-3fdb939a536b']",11,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.638,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,1.048249,,,,,,,,,,,,,,,,,,,,f19e1d64-8936-4766-b912-3fdb939a536b,23,,,"[40.7, 5.0]",0,,,,,0.6055447,,38.0,Left Foot,,,,"[48.5, 10.4]",,1.0,Ground Pass,,9.486833,,,,40221.0,Gilberto Aparecido da Silva,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['b7a5a330-0b12-4fc9-86b1-46f345d7e897'],13,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.161,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b7a5a330-0b12-4fc9-86b1-46f345d7e897,24,,,"[48.5, 10.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,15.0,Left Center Midfield,2,1,Arsenal,['f19e1d64-8936-4766-b912-3fdb939a536b'],14,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.209,42,Ball Receipt*,
,,,,,,,"[48.5, 10.4]",,,,,,,,,,,,,,,,0.082801,,,,,,,,,,,,,,,,,,,,855c00e0-dd9d-41af-b454-861842154054,25,,,"[48.5, 10.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,15.0,Left Center Midfield,2,1,Arsenal,"['b7a5a330-0b12-4fc9-86b1-46f345d7e897', 'd6c74e50-9e06-4604-8a48-92db873ce1a6']",14,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.209,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,0.751306,,,,,,,,,,,,,,,,,,,,d6c74e50-9e06-4604-8a48-92db873ce1a6,26,,,"[48.5, 10.4]",0,,,,,-2.661642,,40.0,Right Foot,,,,"[41.2, 6.6]",,1.0,Ground Pass,,8.229824,,,,12529.0,Ashley Cole,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,15.0,Left Center Midfield,2,1,Arsenal,['c450f08a-0c57-4527-a4b3-c99885bc731b'],14,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.292,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c450f08a-0c57-4527-a4b3-c99885bc731b,27,,,"[41.2, 6.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['d6c74e50-9e06-4604-8a48-92db873ce1a6'],15,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:15.043,42,Ball Receipt*,
,,,,,,,"[41.2, 6.6]",,,,,,,,,,,,,,,,1.043627,,,,,,,,,,,,,,,,,,,,0b8e748d-d44c-43bd-a281-caa372a1aa07,28,,,"[41.2, 6.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,"['35243c55-ab88-4f17-b530-fa79879cf39f', 'c450f08a-0c57-4527-a4b3-c99885bc731b']",15,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:15.043,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,1.3615,,,,,,,,,,,,,,,,,,,,35243c55-ab88-4f17-b530-fa79879cf39f,29,,,"[41.2, 6.6]",0,,,,,2.4075327,,40.0,Right Foot,,,,"[27.9, 18.6]",,1.0,Ground Pass,,17.913403,,,,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['10fd6ebc-df8b-473c-88f9-cb7dad2ed7bb'],16,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.087,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10fd6ebc-df8b-473c-88f9-cb7dad2ed7bb,30,,,"[27.9, 18.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,['35243c55-ab88-4f17-b530-fa79879cf39f'],17,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.448,42,Ball Receipt*,
,,,,,,,"[30.9, 21.0]",,,,,,,,,,,,,,,,1.661994,,,,,,,,,,,,,,,,,,,,baa4ca7b-76ae-498f-b11f-3c177f6e64d7,31,,,"[27.9, 18.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,"['10fd6ebc-df8b-473c-88f9-cb7dad2ed7bb', 'd96244de-7fa8-429b-98cc-1f99a634c333']",17,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.448,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,1.291807,,,,,,,,,,,,,,,,,,,,d96244de-7fa8-429b-98cc-1f99a634c333,32,,,"[30.9, 21.0]",0,,,,,1.5477589,,40.0,Right Foot,,,,"[31.4, 42.7]",,1.0,Ground Pass,,21.70576,,,,38412.0,Kolo Habib Touré,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,['7274a34b-b8c8-4c31-8618-cf44ddbc93fa'],19,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:19.110,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7274a34b-b8c8-4c31-8618-cf44ddbc93fa,33,,,"[31.4, 42.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,['d96244de-7fa8-429b-98cc-1f99a634c333'],20,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:20.402,42,Ball Receipt*,
,,,,,,,"[44.5, 53.9]",,,,,,,,,,,,,,,,4.052287,,,,,,,,,,,,,,,,,,,,fe5c7610-24f4-4bba-a7da-fa2d722c4cae,34,,,"[31.4, 42.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,"['7274a34b-b8c8-4c31-8618-cf44ddbc93fa', 'acaf2cc4-fef7-478b-bfc6-44337bdbbe91']",20,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:20.402,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,3.280826,,,,,,,,,,,,,,,,,,,,acaf2cc4-fef7-478b-bfc6-44337bdbbe91,35,,,"[44.5, 53.9]",0,,,,,-0.523547,,40.0,Right Foot,,,,"[98.2, 22.9]",,3.0,High Pass,,62.005566,9.0,Incomplete,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,['642095f6-e5b7-4397-ad27-5f835664fbba'],24,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:24.455,30,Pass,
