ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,half_start_late_video_start,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23810011-9d62-42c3-acfd-961e5d70487f,23,,,"[55.5, 64.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,From Counter,23816.0,José Antonio Reyes Calderón,24.0,Left Center Forward,3,1,Arsenal,['805c0a9d-cc7d-4c6a-ad6d-25fcaaeeb342'],14,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.087,42,Ball Receipt*,
,,,,"[55.5, 64.0]",,,,,,,,,,,,,,,,0.174508,,,,,,,,,,,,,,,,,,,9146a524-67f2-4e6d-be71-1420bbe0f143,24,,,"[55.5, 64.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,From Counter,23816.0,José Antonio Reyes Calderón,24.0,Left Center Forward,3,1,Arsenal,"['0743297c-cbe1-4f84-9e72-7f56fb498b53', '23810011-9d62-42c3-acfd-961e5d70487f']",14,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.087,43,Carry,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0743297c-cbe1-4f84-9e72-7f56fb498b53,25,,,"[55.5, 64.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,From Counter,23816.0,José Antonio Reyes Calderón,24.0,Left Center Forward,3,1,Arsenal,,14,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.261,38,Miscontrol,
,,,,,,,,,,,,,,,,,,,,0.713897,,,,,,,,,,,,,,,,,,,29d33314-a5bd-4889-a5f3-0c7d5b126f74,26,,,"[55.6, 22.7]",0,,,,,0.49761513,,40.0,Right Foot,,"[63.7, 27.1]",1.0,Ground Pass,,9.217917,,,,40290.0,Robbie Savage,,,,,,66.0,Recovery,1,1,Regular Play,40300.0,Matthew Upson,5.0,Left Center Back,4,54,Birmingham City,['aee3c0a0-817f-4339-912d-0a16a5165d5c'],16,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:16.254,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aee3c0a0-817f-4339-912d-0a16a5165d5c,27,,,"[63.7, 27.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40290.0,Robbie Savage,10.0,Center Defensive Midfield,4,54,Birmingham City,['29d33314-a5bd-4889-a5f3-0c7d5b126f74'],16,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:16.968,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,1.235091,,,,,,,,,,,,,,,,,,,d5b2f582-938a-471a-8240-d1423025c7c0,28,,,"[63.7, 27.1]",0,,,,,-1.5707964,,40.0,Right Foot,,"[63.7, 14.8]",1.0,Ground Pass,,12.3,,,,40297.0,Stephen Clemence,,,,,,,,1,1,Regular Play,40290.0,Robbie Savage,10.0,Center Defensive Midfield,4,54,Birmingham City,['de21f196-eaac-490f-9498-4b41a5d8f798'],16,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:16.968,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,de21f196-eaac-490f-9498-4b41a5d8f798,29,,,"[63.7, 14.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40297.0,Stephen Clemence,15.0,Left Center Midfield,4,54,Birmingham City,['d5b2f582-938a-471a-8240-d1423025c7c0'],18,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:18.203,42,Ball Receipt*,
,,,,"[63.7, 14.8]",,,,,,,,,,,,,,,,0.997946,,,,,,,,,,,,,,,,,,,9d54bcf3-43bb-4a26-8d5c-278f7305061c,30,,,"[63.7, 14.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40297.0,Stephen Clemence,15.0,Left Center Midfield,4,54,Birmingham City,"['de21f196-eaac-490f-9498-4b41a5d8f798', 'f6b8c617-f610-4c76-8c5f-0c27d34c4339']",18,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:18.203,43,Carry,
,,,,,,,,,,,,,,,,,,,,0.963883,,,,,,,,,,,,,,,,,,,f6b8c617-f610-4c76-8c5f-0c27d34c4339,31,,,"[63.7, 14.8]",0,,,,,-0.056676824,,38.0,Left Foot,,"[77.8, 14.0]",2.0,Low Pass,,14.122677,,,,40302.0,David Dunn,,,,,,,,1,1,Regular Play,40297.0,Stephen Clemence,15.0,Left Center Midfield,4,54,Birmingham City,['f6729c15-6fb6-4d1d-b41f-7e4af9f2e9e4'],19,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:19.201,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f6729c15-6fb6-4d1d-b41f-7e4af9f2e9e4,32,,,"[77.8, 14.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40302.0,David Dunn,13.0,Right Center Midfield,4,54,Birmingham City,['f6b8c617-f610-4c76-8c5f-0c27d34c4339'],20,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:20.165,42,Ball Receipt*,
