ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_saved_off_target,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f2dd9b6c-5460-4087-9786-060b35957563,21,,,"[38.6, 3.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['5f71e8c8-406c-4f41-adb6-720c7b17c4ea'],13,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.458,42,Ball Receipt*,
,,,,,"[38.1, 4.5]",,,,,,,,,,,,,,,,2.549128,,,,,,,,,,,,,,,,,,,7a67e5d6-c713-42f2-8ed6-7a81a75bd36a,22,,,"[38.6, 3.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,"['90579968-27e9-4236-b6ac-f72a0a659704', 'f2dd9b6c-5460-4087-9786-060b35957563']",13,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.458,43,Carry,
,,,,,,,,,,,,,,,,,,,,,0.756651,,,,,,,,,,,,,,,,,,,90579968-27e9-4236-b6ac-f72a0a659704,23,,,"[38.1, 4.5]",0,,,,0.7546386,,38.0,Left Foot,,,,"[44.8, 10.8]",,1.0,Ground Pass,,9.196738,,,,24972.0,Ray Parlour,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['ae6b69dd-991f-4091-ade3-1de5be3dbe23'],16,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.008,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ae6b69dd-991f-4091-ade3-1de5be3dbe23,24,,,"[44.8, 10.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,9.0,Right Defensive Midfield,2,1,Arsenal,['90579968-27e9-4236-b6ac-f72a0a659704'],16,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.764,42,Ball Receipt*,
,,,,,"[44.8, 10.8]",,,,,,,,,,,,,,,,0.090029,,,,,,,,,,,,,,,,,,,6c624b2b-cfed-4100-b2f5-e837508e0746,25,,,"[44.8, 10.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,9.0,Right Defensive Midfield,2,1,Arsenal,"['ae6b69dd-991f-4091-ade3-1de5be3dbe23', 'fcd598b4-fd8f-4f4a-8cdb-de9f638f9e9e']",16,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.764,43,Carry,
,,,,,,,,,,,,,,,,,,,,,0.538158,,,,,,,,,,,,,,,,,,,fcd598b4-fd8f-4f4a-8cdb-de9f638f9e9e,26,,,"[44.8, 10.8]",0,,,,-2.3561945,,38.0,Left Foot,,,,"[38.2, 4.2]",,1.0,Ground Pass,,9.33381,,,,12529.0,Ashley Cole,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,9.0,Right Defensive Midfield,2,1,Arsenal,['43483183-ded5-4c5b-be5c-ff7a91cd63f6'],16,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.854,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43483183-ded5-4c5b-be5c-ff7a91cd63f6,27,,,"[38.2, 4.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['fcd598b4-fd8f-4f4a-8cdb-de9f638f9e9e'],17,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.392,42,Ball Receipt*,
,,,,,"[38.2, 4.2]",,,,,,,,,,,,,,,,0.07143,,,,,,,,,,,,,,,,,,,ff40ec3b-dd6f-449b-859f-4b79de49799a,28,,,"[38.2, 4.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,"['43483183-ded5-4c5b-be5c-ff7a91cd63f6', 'bdfe81a3-5fbe-40bf-9bc6-b29f78bc48bb']",17,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.392,43,Carry,
,,,,,,,,,,,,,,,,,,,,,0.438137,,,,,,,,,,,,,,,,,,,bdfe81a3-5fbe-40bf-9bc6-b29f78bc48bb,29,,,"[38.2, 4.2]",0,,,,0.76927054,,38.0,Left Foot,,,,"[44.5, 10.3]",,1.0,Ground Pass,,8.769264,,,,24972.0,Ray Parlour,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['a8bf9a72-9198-4e4b-86ba-7b5c6665e982'],17,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.464,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a8bf9a72-9198-4e4b-86ba-7b5c6665e982,30,,,"[44.5, 10.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,9.0,Right Defensive Midfield,2,1,Arsenal,['bdfe81a3-5fbe-40bf-9bc6-b29f78bc48bb'],17,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.902,42,Ball Receipt*,
