ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_shot_saved_off_target,goalkeeper_success_in_play,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_saved_off_target,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,"[111.5, 9.2]",,,,,,,,,,,,,,1.472852,,,,,,,,,,,,,,,,,e33a5525-e19e-458a-b86d-4a0008a798b6,21,,,"[107.1, 16.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40375.0,Paolo Di Canio,24.0,Left Center Forward,2,75,Charlton Athletic,"['82111628-c501-4d0e-83dd-f5cf03d1715d', 'c10d6f42-ec90-4429-a920-ec87ddcfb6dc', 'eb8fc0f6-49a2-4aba-a672-d366a1acc574']",14,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:14.192,43,Carry,True
,,,,,,,,,,,,,,,,,0.444372,,,,,,,,,,,,,,,,,c10d6f42-ec90-4429-a920-ec87ddcfb6dc,22,,,"[13.7, 63.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15754.0,Fredrik Ljungberg,12.0,Right Midfield,2,75,Charlton Athletic,"['e33a5525-e19e-458a-b86d-4a0008a798b6', 'eb8fc0f6-49a2-4aba-a672-d366a1acc574']",15,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:15.316,17,Pressure,
,,,,,,,,,,,,,,,,,1.033178,,,,,,,,,,,,,,,,,eb8fc0f6-49a2-4aba-a672-d366a1acc574,23,,,"[111.5, 9.2]",0,,,,,1.9965473,,40.0,Right Foot,,,"[103.7, 26.4]",,2.0,Low Pass,,18.885973,,,9.0,Incomplete,,40418.0,Carlton Cole Okirie,,,,,,,,1,9,From Kick Off,40375.0,Paolo Di Canio,24.0,Left Center Forward,2,75,Charlton Athletic,"['00634fef-7020-415d-8918-175ef7444ed6', 'c10d6f42-ec90-4429-a920-ec87ddcfb6dc', 'f66b0929-b959-4400-ae68-bff1bfd0a4c1']",15,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:15.665,30,Pass,True
9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00634fef-7020-415d-8918-175ef7444ed6,24,,,"[98.8, 25.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40418.0,Carlton Cole Okirie,22.0,Right Center Forward,2,75,Charlton Athletic,['eb8fc0f6-49a2-4aba-a672-d366a1acc574'],16,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:16.698,42,Ball Receipt*,
,,,,,,,,,,True,,,,,,,0.0,,,,,,,,,,,,,,,,,f66b0929-b959-4400-ae68-bff1bfd0a4c1,25,4.0,Won,"[16.4, 53.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,26014.0,Eduardo César Daude Gaspar,11.0,Left Defensive Midfield,3,1,Arsenal,['eb8fc0f6-49a2-4aba-a672-d366a1acc574'],16,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.698,10,Interception,
,,,"[13.5, 65.8]",,,,,,,,,,,,,,1.12013,,,,,,,,,,,,,,,,,c7263ed8-9ced-41fb-989f-6d72ba0f6b4e,26,,,"[16.4, 53.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,26014.0,Eduardo César Daude Gaspar,11.0,Left Defensive Midfield,3,1,Arsenal,"['16b70701-0293-4a25-bc74-bb006dbef9d8', '65912cac-7c62-430d-a137-6fc058e51d7d', 'f66b0929-b959-4400-ae68-bff1bfd0a4c1']",16,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.698,43,Carry,True
,,,,,,,,,,True,,,,,,,0.966922,,,,,,,,,,,,,,,,,65912cac-7c62-430d-a137-6fc058e51d7d,27,,,"[108.6, 15.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40375.0,Paolo Di Canio,24.0,Left Center Forward,3,1,Arsenal,"['16b70701-0293-4a25-bc74-bb006dbef9d8', 'c7263ed8-9ced-41fb-989f-6d72ba0f6b4e']",17,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:17.229,17,Pressure,
,,,,,,,,,,,,,,,,,0.688158,,,,,,,,,,,,,,,,,16b70701-0293-4a25-bc74-bb006dbef9d8,28,,,"[13.5, 65.8]",0,,,,,-0.5624979,,38.0,Left Foot,,,"[18.1, 62.9]",,1.0,Ground Pass,,5.4378304,,,,,,15515.0,Patrick Vieira,,,,,,,,1,1,Regular Play,26014.0,Eduardo César Daude Gaspar,11.0,Left Defensive Midfield,3,1,Arsenal,"['366b85dd-53ad-4dec-95b7-89d80c892dcd', '65912cac-7c62-430d-a137-6fc058e51d7d']",17,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.818,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366b85dd-53ad-4dec-95b7-89d80c892dcd,29,,,"[18.1, 62.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,3,1,Arsenal,['16b70701-0293-4a25-bc74-bb006dbef9d8'],18,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:18.507,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,0.714109,,,,,,,,,,,,,,,,,aa697eb6-7814-460d-8104-ee4ddcd1c608,30,,,"[18.8, 64.4]",0,,,,,2.1006453,,40.0,Right Foot,,,"[14.7, 71.4]",,1.0,Ground Pass,,8.112336,,,,,,26014.0,Eduardo César Daude Gaspar,,,,,,,,1,1,Regular Play,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,3,1,Arsenal,['6ccc2b27-d9d3-4ffa-9a93-ee0d0ba38fe8'],18,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:18.507,30,Pass,
