ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8eff48cf-2fe5-4968-9321-e533bf9c4881,21,,,"[64.1, 38.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40238.0,Lilian Nalis,11.0,Left Defensive Midfield,2,22,Leicester City,['a5d051c9-dc26-4e66-8c7f-882a549ecde0'],15,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:15.993,42,Ball Receipt*,
,,,,,"[63.7, 38.6]",,,,,,,,,,,,,,,,0.766722,,,,,,,,,,,,,,,,,,,,,3d69768b-ed33-41cf-ae11-524fb97135db,22,,,"[64.1, 38.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40238.0,Lilian Nalis,11.0,Left Defensive Midfield,2,22,Leicester City,"['8eff48cf-2fe5-4968-9321-e533bf9c4881', 'cae15c81-53bf-401e-9359-5de0f5c68bbd', 'eab07208-a4ce-4be9-aab2-c0e42e51d5be']",15,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:15.993,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,0.842592,,,,,,,,,,,,,,,,,,,,,cae15c81-53bf-401e-9359-5de0f5c68bbd,23,,,"[53.2, 39.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,15.0,Left Center Midfield,2,22,Leicester City,"['3d69768b-ed33-41cf-ae11-524fb97135db', 'eab07208-a4ce-4be9-aab2-c0e42e51d5be']",16,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.180,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,1.075882,,,,,,,,,,,,,,,,,,,,,eab07208-a4ce-4be9-aab2-c0e42e51d5be,24,,,"[63.7, 38.6]",0,,,,,1.2112486,,40.0,Right Foot,,,"[69.0, 52.7]",,2.0,Low Pass,,15.0632,,,,,,15173.0,Steffen Freund,,,,,,,,,1,9,From Kick Off,40238.0,Lilian Nalis,11.0,Left Defensive Midfield,2,22,Leicester City,"['cae15c81-53bf-401e-9359-5de0f5c68bbd', 'f5bb5537-8b81-4546-a6ca-453aa22a8ce9']",16,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:16.760,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,0.844531,,,,,,,,,,,,,,,,,,,,,85e1424e-3222-4115-8dde-d3535799e36c,25,,,"[52.9, 23.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,16.0,Left Midfield,2,22,Leicester City,"['f5bb5537-8b81-4546-a6ca-453aa22a8ce9', 'ffef27a5-54af-4c8b-b166-f5566872fb06']",17,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.513,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f5bb5537-8b81-4546-a6ca-453aa22a8ce9,26,,,"[69.0, 52.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15173.0,Steffen Freund,12.0,Right Midfield,2,22,Leicester City,"['85e1424e-3222-4115-8dde-d3535799e36c', 'eab07208-a4ce-4be9-aab2-c0e42e51d5be']",17,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:17.836,42,Ball Receipt*,True
,,,,,"[70.4, 53.3]",,,,,,,,,,,,,,,,0.55735,,,,,,,,,,,,,,,,,,,,,ffef27a5-54af-4c8b-b166-f5566872fb06,27,,,"[69.0, 52.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15173.0,Steffen Freund,12.0,Right Midfield,2,22,Leicester City,"['7a9c01f4-9565-42b2-98d5-c1bd90daa3d8', '85e1424e-3222-4115-8dde-d3535799e36c', 'f5bb5537-8b81-4546-a6ca-453aa22a8ce9']",17,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:17.836,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,7a9c01f4-9565-42b2-98d5-c1bd90daa3d8,28,,,"[70.4, 53.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15173.0,Steffen Freund,12.0,Right Midfield,2,22,Leicester City,['512a6425-d688-4944-bbd5-1c3c0f4025e1'],18,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:18.393,3,Dispossessed,True
,,,,,,,,,,,,True,,,,,16.0,Success In Play,11.0,Tackle,0.0,,,,,,,,,,,,,,,,,,,,,512a6425-d688-4944-bbd5-1c3c0f4025e1,29,,,"[49.7, 26.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,19312.0,Robert Pirès ,16.0,Left Midfield,3,1,Arsenal,['7a9c01f4-9565-42b2-98d5-c1bd90daa3d8'],18,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:18.393,4,Duel,True
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,26419d12-74ad-45c2-b0a9-8d194893c293,30,,,"[49.3, 26.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15515.0,Patrick Vieira,13.0,Right Center Midfield,3,1,Arsenal,,19,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:19.082,2,Ball Recovery,
,,,,,"[56.0, 30.9]",,,,,,,,,,,,,,,,2.457594,,,,,,,,,,,,,,,,,,,,,b95acb7d-bf50-4961-a834-23ad31c1e87d,31,,,"[49.3, 26.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15515.0,Patrick Vieira,13.0,Right Center Midfield,3,1,Arsenal,"['20e083b0-c23c-4e16-bd1f-5bab07fdab79', '26419d12-74ad-45c2-b0a9-8d194893c293', 'bf32d7a1-04d1-4347-bb02-63ca32a9e878']",19,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:19.082,43,Carry,True
,,,,,,,,,,,,True,,,,,,,,,2.521037,,,,,,,,,,,,,,,,,,,,,20e083b0-c23c-4e16-bd1f-5bab07fdab79,32,,,"[70.4, 53.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15173.0,Steffen Freund,12.0,Right Midfield,3,1,Arsenal,"['b95acb7d-bf50-4961-a834-23ad31c1e87d', 'bf32d7a1-04d1-4347-bb02-63ca32a9e878']",19,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:19.465,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,1.041432,,,,,,,,,,,,,,,,,,,,,bf32d7a1-04d1-4347-bb02-63ca32a9e878,33,,,"[56.0, 30.9]",0,,,,,0.4671198,,40.0,Right Foot,,,"[67.5, 36.7]",,1.0,Ground Pass,,12.879829,,,,,,15042.0,Dennis Bergkamp,,,,,,,,,1,1,Regular Play,15515.0,Patrick Vieira,13.0,Right Center Midfield,3,1,Arsenal,"['20e083b0-c23c-4e16-bd1f-5bab07fdab79', 'db940a2a-89cc-415b-8154-764296f73f47']",21,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:21.539,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db940a2a-89cc-415b-8154-764296f73f47,34,,,"[67.5, 36.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15042.0,Dennis Bergkamp,22.0,Right Center Forward,3,1,Arsenal,['bf32d7a1-04d1-4347-bb02-63ca32a9e878'],22,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:22.581,42,Ball Receipt*,
,,,,,"[91.9, 50.5]",,,,,,,,,,,,,,,,4.418538,,,,,,,,,,,,,,,,,,,,,fa9ae25f-fc08-459c-bc5b-a604156a080d,35,,,"[67.5, 36.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15042.0,Dennis Bergkamp,22.0,Right Center Forward,3,1,Arsenal,"['73742e99-6a37-41e3-bd67-448ec262786f', '766757ba-59ac-4eae-85b1-a2695402da93', 'db940a2a-89cc-415b-8154-764296f73f47']",22,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:22.581,43,Carry,True
