50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_success_in_play,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727b38ed-4747-474f-bec4-ae58d4d9d20d,21,,,"[70.3, 23.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,['73644f25-8021-4fbf-9937-ae36f617fa94'],19,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:19.042,42,Ball Receipt*,
,,,,,,"[70.1, 23.4]",,,,,,,,,,,,,,,0.006444001,,,,,,,,,,,,,,,,,,,2bad353b-61d2-4798-a0e0-8106f718b345,22,,,"[70.3, 23.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,"['727b38ed-4747-474f-bec4-ae58d4d9d20d', '9bbfa6bf-5c5c-4d5b-921c-d19897cb07b4']",19,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:19.042,43,Carry,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,9bbfa6bf-5c5c-4d5b-921c-d19897cb07b4,23,,,"[70.1, 23.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,,19,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:19.049,38,Miscontrol,
,,,,,,,,,,,,,,,,,,,,,0.589329,,,,,,,,,,,,,,,,,,,857a7f60-2a65-4db8-9dfb-518ca7176645,24,,,"[69.4, 21.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,"['307879af-43ca-405e-9f25-1286b9172f53', '77a5ebd6-bdf0-4b31-aac2-e07a772c845e']",19,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:19.680,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,307879af-43ca-405e-9f25-1286b9172f53,25,,,"[52.5, 57.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40365.0,Eric Daniel Djemba-Djemba,13.0,Right Center Midfield,3,39,Manchester United,['857a7f60-2a65-4db8-9dfb-518ca7176645'],19,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:19.946,2,Ball Recovery,True
,,,,,,"[50.2, 59.3]",,,,,,,,,,,,,,,0.443031,,,,,,,,,,,,,,,,,,,77a5ebd6-bdf0-4b31-aac2-e07a772c845e,26,,,"[52.5, 57.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40365.0,Eric Daniel Djemba-Djemba,13.0,Right Center Midfield,3,39,Manchester United,"['1e50750b-a140-412f-be0d-957742cb057b', '307879af-43ca-405e-9f25-1286b9172f53', '857a7f60-2a65-4db8-9dfb-518ca7176645', 'bb42364d-ea39-436b-8cab-6aab29bfef6e']",19,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:19.946,43,Carry,True
,,,,,,,,,,,,,True,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,bb42364d-ea39-436b-8cab-6aab29bfef6e,27,,,"[69.9, 20.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15516.0,Thierry Henry,24.0,Left Center Forward,3,39,Manchester United,"['1e50750b-a140-412f-be0d-957742cb057b', '77a5ebd6-bdf0-4b31-aac2-e07a772c845e']",20,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:20.389,22,Foul Committed,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1e50750b-a140-412f-be0d-957742cb057b,28,,,"[50.2, 59.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40365.0,Eric Daniel Djemba-Djemba,13.0,Right Center Midfield,3,39,Manchester United,['bb42364d-ea39-436b-8cab-6aab29bfef6e'],20,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:20.389,21,Foul Won,True
,,,,,,,,,,,,,,,,,,,,,1.434447,,,,,,,,,,,,,,,,,,,908f8f04-494e-4488-9d7a-51bc6f557de2,29,,,"[50.2, 61.0]",0,,,,,-2.0269253,,40.0,Right Foot,,,,"[37.1, 34.3]",,1.0,Ground Pass,,29.740545,,,,,20341.0,Mikaël Silvestre,,,,,,,62.0,Free Kick,1,3,From Free Kick,15402.0,Gary Neville,2.0,Right Back,4,39,Manchester United,['c17431d3-ff04-4cc5-92fd-94307135fb3a'],29,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:29.198,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c17431d3-ff04-4cc5-92fd-94307135fb3a,30,,,"[37.1, 34.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,From Free Kick,20341.0,Mikaël Silvestre,5.0,Left Center Back,4,39,Manchester United,['908f8f04-494e-4488-9d7a-51bc6f557de2'],30,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:30.632,42,Ball Receipt*,
