50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_success_in_play,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,injury_stoppage_in_chain,interception_outcome_id,interception_outcome_name,location,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,1.33544,,,,,,,,,,,,,,,,,,,,52875c0a-6e10-4223-85d7-4acb7771918d,21,,,,"[48.9, 56.9]",0,,,,-3.115283,,40.0,Right Foot,,,"[33.7, 56.5]",,1.0,Ground Pass,,15.205262,,,,38412.0,Kolo Habib Touré,,,,,,,,1,9,From Kick Off,24972.0,Ray Parlour,13.0,Right Center Midfield,2,1,Arsenal,['8d7fd5f6-221c-4bd6-9d28-0285bc4db543'],10,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.990,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8d7fd5f6-221c-4bd6-9d28-0285bc4db543,22,,,,"[33.7, 56.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,['52875c0a-6e10-4223-85d7-4acb7771918d'],12,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.325,42,Ball Receipt*,
,,,,,,,"[35.0, 56.5]",,,,,,,,,,,,,,,1.492143,,,,,,,,,,,,,,,,,,,,c44f9d4b-eebf-4f5a-aeba-ffd83cd9ea3b,23,,,,"[33.7, 56.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,"['67ce76d7-5118-4948-be39-af241bc86ad2', '8d7fd5f6-221c-4bd6-9d28-0285bc4db543']",12,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:12.325,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,1.869035,,,,,,,,,,,,,,,,,,,,67ce76d7-5118-4948-be39-af241bc86ad2,24,,,,"[35.0, 56.5]",0,,,,-1.4218111,,40.0,Right Foot,,,"[42.7, 5.2]",,1.0,Ground Pass,,51.874657,,,,12529.0,Ashley Cole,,True,,,,,,1,9,From Kick Off,38412.0,Kolo Habib Touré,3.0,Right Center Back,2,1,Arsenal,['182c936b-69a8-47f5-b209-83f19f58ece7'],13,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:13.817,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182c936b-69a8-47f5-b209-83f19f58ece7,25,,,,"[42.7, 5.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['67ce76d7-5118-4948-be39-af241bc86ad2'],15,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:15.686,42,Ball Receipt*,
,,,,,,,"[42.7, 5.2]",,,,,,,,,,,,,,,1.324478,,,,,,,,,,,,,,,,,,,,491365db-4c54-4e18-865f-2e66e863e492,26,,,,"[42.7, 5.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,"['182c936b-69a8-47f5-b209-83f19f58ece7', 'a9747b71-132b-4043-baee-4e8c6f2509f8']",15,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:15.686,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,1.129446,,,,,,,,,,,,,,,,,,,,a9747b71-132b-4043-baee-4e8c6f2509f8,27,,,,"[42.7, 5.2]",0,,,,-0.08550529,,38.0,Left Foot,,,"[56.7, 4.0]",,1.0,Ground Pass,,14.051334,,,,19312.0,Robert Pirès ,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['87cd6c66-f1fe-4084-8cc0-dc8341f4b804'],17,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.011,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87cd6c66-f1fe-4084-8cc0-dc8341f4b804,28,,,,"[56.7, 4.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,16.0,Left Midfield,2,1,Arsenal,['a9747b71-132b-4043-baee-4e8c6f2509f8'],18,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:18.140,42,Ball Receipt*,
,,,,,,,"[56.7, 4.0]",,,,,,,,,,,,,,,0.32691,,,,,,,,,,,,,,,,,,,,5a57cd36-b21b-48bc-b1e8-1f5d387b3338,29,,,,"[56.7, 4.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,16.0,Left Midfield,2,1,Arsenal,"['32f2ad33-115e-42f9-9128-e3160de33659', '87cd6c66-f1fe-4084-8cc0-dc8341f4b804']",18,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:18.140,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,1.121811,,,,,,,,,,,,,,,,,,,,32f2ad33-115e-42f9-9128-e3160de33659,30,,,,"[56.7, 4.0]",0,,,,3.0144625,,40.0,Right Foot,,,"[43.4, 5.7]",,1.0,Ground Pass,,13.408206,,,,12529.0,Ashley Cole,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,16.0,Left Midfield,2,1,Arsenal,['24f91efa-aa75-421b-9de7-b4cfadc1092d'],18,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:18.467,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24f91efa-aa75-421b-9de7-b4cfadc1092d,31,,,,"[43.4, 5.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['32f2ad33-115e-42f9-9128-e3160de33659'],19,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:19.589,42,Ball Receipt*,
,,,,,,,"[46.7, 6.0]",,,,,,,,,,,,,,,3.18327,,,,,,,,,,,,,,,,,,,,591d9bb4-7e3c-48f6-97da-bc375b68399d,32,,,,"[43.4, 5.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,"['24f91efa-aa75-421b-9de7-b4cfadc1092d', 'e08919c7-279c-4503-9a9f-061320a6f0cb']",19,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:19.589,43,Carry,
