bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_redirect,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,True,,,,,,,,0.925856,,,,,,,,,,,,,,,,,,,21b30505-e503-406d-84ea-f237ec0ad3ce,21,,,"[87.8, 67.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40257.0,El-Hadji Ousseynou Diouf,12.0,Right Midfield,2,24,Liverpool,['e5555573-3e8f-4135-b405-a3b3a6f6540d'],13,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:13.349,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,3.540004,,,,,,,,,,,,,,,,,,,3ee09543-f72f-426a-a648-8cf4f9d17975,22,,,"[28.1, 13.0]",0,,,,,1.3133032,,40.0,Right Foot,,,"[43.4, 71.1]",,3.0,High Pass,,60.08078,,9.0,Incomplete,,40222.0,Laureano Bisan-Etame Mayer,,True,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,11.0,Left Defensive Midfield,2,24,Liverpool,"['90156a9a-3875-41a0-86c9-3567512a1270', 'a921bedc-ac57-4a9a-acc9-631e04a07576']",14,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:14.373,30,Pass,
,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a921bedc-ac57-4a9a-acc9-631e04a07576,23,,,"[28.5, 63.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,24,Liverpool,['3ee09543-f72f-426a-a648-8cf4f9d17975'],17,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:17.913,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,90156a9a-3875-41a0-86c9-3567512a1270,24,,,"[76.7, 9.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,34391.0,Harry Kewell,16.0,Left Midfield,2,24,Liverpool,['3ee09543-f72f-426a-a648-8cf4f9d17975'],17,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:17.913,2,Ball Recovery,
,,,,,,"[87.1, 10.3]",,,,,,,,,,,,,,,0.563571,,,,,,,,,,,,,,,,,,,34186809-8f50-4640-ac79-79f47143f17b,25,,,"[76.7, 9.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,34391.0,Harry Kewell,16.0,Left Midfield,2,24,Liverpool,"['90156a9a-3875-41a0-86c9-3567512a1270', 'a8d6c1c2-2e6e-4888-a118-3a43efaa388c', 'd7394f59-6417-4539-a090-6a00dbb95261']",17,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:17.913,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,d7394f59-6417-4539-a090-6a00dbb95261,26,,,"[33.0, 69.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,24,Liverpool,"['278956e4-3546-4ce6-be1c-1298fc605043', '34186809-8f50-4640-ac79-79f47143f17b', 'a8d6c1c2-2e6e-4888-a118-3a43efaa388c']",18,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:18.477,39,Dribbled Past,
,,,,,,,,,,,,,,8.0,Complete,,,,,,0.0,,,,,,,,,,,,,,,,,,,a8d6c1c2-2e6e-4888-a118-3a43efaa388c,27,,,"[87.1, 10.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,34391.0,Harry Kewell,16.0,Left Midfield,2,24,Liverpool,['d7394f59-6417-4539-a090-6a00dbb95261'],18,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:18.477,14,Dribble,True
,,,,,,"[111.3, 3.8]",,,,,,,,,,,,,,,3.381357,,,,,,,,,,,,,,,,,,,278956e4-3546-4ce6-be1c-1298fc605043,28,,,"[87.1, 10.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,34391.0,Harry Kewell,16.0,Left Midfield,2,24,Liverpool,"['a8d6c1c2-2e6e-4888-a118-3a43efaa388c', 'b1125064-6b65-4a5d-99b4-2ce0e889a554', 'd7394f59-6417-4539-a090-6a00dbb95261', 'e43a4fa4-f279-4423-b2cd-4624b5517f89']",18,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:18.477,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,0.971923,,,,,,,,,,,,,,,,,,,b1125064-6b65-4a5d-99b4-2ce0e889a554,29,,,"[15.5, 72.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,24,Liverpool,"['278956e4-3546-4ce6-be1c-1298fc605043', 'e43a4fa4-f279-4423-b2cd-4624b5517f89']",20,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:20.986,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,1.294536,,,,,,,,,,,,,,,,,,,e43a4fa4-f279-4423-b2cd-4624b5517f89,30,,,"[111.3, 3.8]",0,,,,,1.4546547,,38.0,Left Foot,,,"[114.1, 27.8]",,3.0,High Pass,,24.16278,,9.0,Incomplete,,,,,,,,,,,1,9,From Kick Off,34391.0,Harry Kewell,16.0,Left Midfield,2,24,Liverpool,"['18036437-3786-4bc1-bb52-872d154a4cae', 'b1125064-6b65-4a5d-99b4-2ce0e889a554']",21,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:21.858,30,Pass,True
