bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,2.162299,,,,,,,,,,,,,,,,,,,,9c0c3818-0985-438d-9023-9183910e4f1c,21,,,"[14.9, 43.5]",0,,True,,,0.18370576,,68.0,Drop Kick,,,,"[81.1, 55.8]",,3.0,High Pass,,67.33298,,,9.0,Incomplete,,17727.0,Ioan Viorel Ganea,,,,,,,,,1,1,Regular Play,40319.0,Paul Jones,1.0,Goalkeeper,3,46,Wolverhampton Wanderers,"['6e8cc8fd-bb82-4f65-ad7a-1cfb9000cc0b', 'e7c2b3b4-15a3-4411-9557-b39b2ce7f48e']",26,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:26.302,30,Pass,
,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e7c2b3b4-15a3-4411-9557-b39b2ce7f48e,22,,,"[81.1, 53.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,17727.0,Ioan Viorel Ganea,22.0,Right Center Forward,3,46,Wolverhampton Wanderers,['9c0c3818-0985-438d-9023-9183910e4f1c'],28,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:28.464,42,Ball Receipt*,
,,,,,,,,,38.0,Left Foot,,True,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,6e8cc8fd-bb82-4f65-ad7a-1cfb9000cc0b,23,,,"[39.0, 24.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,12529.0,Ashley Cole,6.0,Left Back,3,46,Wolverhampton Wanderers,['9c0c3818-0985-438d-9023-9183910e4f1c'],28,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:28.464,9,Clearance,True
,,,,,,,,,,,,,,,,,,,,,,,1.353245,,,,,,,,,,,,,,,,,,,,74f56e12-67f8-4123-a34b-72eda9dacde9,24,,,"[55.4, 43.9]",0,,,,,1.5843549,,40.0,Right Foot,,,,"[55.0, 73.4]",,2.0,Low Pass,,29.502712,,,,,,24765.0,Denis Irwin,,,,,,,66.0,Recovery,1,1,Regular Play,40311.0,Alex Rae,9.0,Right Defensive Midfield,3,46,Wolverhampton Wanderers,['1f2953ae-2860-423e-a569-982237c1e74d'],30,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:30.516,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1f2953ae-2860-423e-a569-982237c1e74d,25,,,"[55.0, 73.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,24765.0,Denis Irwin,2.0,Right Back,3,46,Wolverhampton Wanderers,['74f56e12-67f8-4123-a34b-72eda9dacde9'],31,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:31.869,42,Ball Receipt*,
,,,,,,,"[54.9, 74.3]",,,,,,,,,,,,,,,,1.810088,,,,,,,,,,,,,,,,,,,,1d56096f-8716-4cbf-a429-5f50735f76d7,26,,,"[55.0, 73.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,24765.0,Denis Irwin,2.0,Right Back,3,46,Wolverhampton Wanderers,"['1f2953ae-2860-423e-a569-982237c1e74d', 'f7fd3549-cf79-4524-b9ed-cd8694dc4aeb']",31,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:31.869,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,2.642459,,,,,,,,,,,,,,,,,,,,f7fd3549-cf79-4524-b9ed-cd8694dc4aeb,27,,,"[54.9, 74.3]",0,,,,,-0.044325788,,40.0,Right Foot,,,,"[104.5, 72.1]",,3.0,High Pass,,49.648766,,,9.0,Incomplete,,17727.0,Ioan Viorel Ganea,,,,,,,,,1,1,Regular Play,24765.0,Denis Irwin,2.0,Right Back,3,46,Wolverhampton Wanderers,"['14c35365-53e8-4720-9404-b667546d26ff', '20b3800a-5866-46a0-8eeb-41e29d6214a7']",33,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:33.679,30,Pass,
,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20b3800a-5866-46a0-8eeb-41e29d6214a7,28,,,"[102.5, 67.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,17727.0,Ioan Viorel Ganea,22.0,Right Center Forward,3,46,Wolverhampton Wanderers,['f7fd3549-cf79-4524-b9ed-cd8694dc4aeb'],36,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:36.322,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,14c35365-53e8-4720-9404-b667546d26ff,29,,,"[15.6, 8.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,12529.0,Ashley Cole,6.0,Left Back,3,46,Wolverhampton Wanderers,['f7fd3549-cf79-4524-b9ed-cd8694dc4aeb'],36,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:36.322,2,Ball Recovery,
,,,,,,,"[11.1, 9.7]",,,,,,,,,,,,,,,,1.037898,,,,,,,,,,,,,,,,,,,,46e52a6c-06d3-4012-8f00-e5d69934983c,30,,,"[15.6, 8.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,12529.0,Ashley Cole,6.0,Left Back,3,46,Wolverhampton Wanderers,"['14c35365-53e8-4720-9404-b667546d26ff', '78e08bce-a5b2-49d4-95bb-efcb4aacb6d3', '9994e5c1-9fc9-444a-a52a-6423fefbf475']",36,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:36.322,43,Carry,True
,,,,,,,,,,,,,,True,,,,,,,,,0.447699,,,,,,,,,,,,,,,,,,,,78e08bce-a5b2-49d4-95bb-efcb4aacb6d3,31,,,"[105.4, 69.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,17727.0,Ioan Viorel Ganea,22.0,Right Center Forward,3,46,Wolverhampton Wanderers,['46e52a6c-06d3-4012-8f00-e5d69934983c'],36,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:36.718,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,1.149739,,,,,,,,,,,,,,,,,,,,9994e5c1-9fc9-444a-a52a-6423fefbf475,32,,,"[11.1, 9.7]",0,,,,,1.8513331,,38.0,Left Foot,,,,"[7.7, 21.5]",,2.0,Low Pass,,12.280066,,,,,,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",,,,,,,,,1,1,Regular Play,12529.0,Ashley Cole,6.0,Left Back,3,46,Wolverhampton Wanderers,['f1bbe40a-4891-4948-a6ae-74134faa4c96'],37,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:37.360,30,Pass,
