50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,"[57.6, 59.4]",,,,,,,,,,,,,,,,,2.373647,,,,,,,,,,,,,,,,,,,,,,95c42e39-ec50-4334-8e1a-308000b2ce3c,21,,,"[63.0, 68.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40343.0,Amdy Moustapha Faye,9.0,Right Defensive Midfield,3,105,Portsmouth,"['70b96dba-9271-4460-a519-28c2f10169a4', '8a050280-1c73-4549-8d55-4bb4636e63c0', 'ccbedf75-ffbb-411d-ae5a-0c9135ef911a']",15,,,,,,,,,,,,,,,,,,,,,,105,Portsmouth,00:00:15.219,43,Carry,True
,,,,,,,,,,,,,,,True,,,,,,,,,0.906315,,,,,,,,,,,,,,,,,,,,,,8a050280-1c73-4549-8d55-4bb4636e63c0,22,,,"[57.1, 13.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,19312.0,Robert Pirès ,16.0,Left Midfield,3,105,Portsmouth,"['95c42e39-ec50-4334-8e1a-308000b2ce3c', 'ccbedf75-ffbb-411d-ae5a-0c9135ef911a']",16,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:16.736,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,1.500591,,,,,,,,,,,,,,,,,,,,,,ccbedf75-ffbb-411d-ae5a-0c9135ef911a,23,,,"[57.6, 59.4]",0,,,,,-3.10052,,40.0,Right Foot,,,"[43.0, 58.8]",,1.0,Ground Pass,,14.612324,,,,,40339.0,Arjan de Zeeuw,,,,,,,,1,1,Regular Play,40343.0,Amdy Moustapha Faye,9.0,Right Defensive Midfield,3,105,Portsmouth,"['8a050280-1c73-4549-8d55-4bb4636e63c0', 'e9d74c36-250c-4dda-ba68-cd80ac99f9a9']",17,,,,,,,,,,,,,,,,,,,,,,105,Portsmouth,00:00:17.592,30,Pass,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e9d74c36-250c-4dda-ba68-cd80ac99f9a9,24,,,"[43.0, 58.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40339.0,Arjan de Zeeuw,3.0,Right Center Back,3,105,Portsmouth,['ccbedf75-ffbb-411d-ae5a-0c9135ef911a'],19,,,,,,,,,,,,,,,,,,,,,,105,Portsmouth,00:00:19.093,42,Ball Receipt*,
,,,,,,,"[43.0, 66.2]",,,,,,,,,,,,,,,,,1.738842,,,,,,,,,,,,,,,,,,,,,,503eea35-08ef-4986-9ff4-f65b4ee74584,25,,,"[43.0, 58.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40339.0,Arjan de Zeeuw,3.0,Right Center Back,3,105,Portsmouth,"['b41d9242-af1f-43da-9e94-b966343d4b81', 'e9d74c36-250c-4dda-ba68-cd80ac99f9a9']",19,,,,,,,,,,,,,,,,,,,,,,105,Portsmouth,00:00:19.093,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,2.659438,,,,,,,,,,,,,,,,,,,,,,b41d9242-af1f-43da-9e94-b966343d4b81,26,,,"[43.0, 66.2]",0,,,,,-0.32113817,,40.0,Right Foot,,,"[92.0, 49.9]",,3.0,High Pass,,51.640003,,9.0,Incomplete,,40337.0,Yakubu Aiyegbeni,,,,,,,,1,1,Regular Play,40339.0,Arjan de Zeeuw,3.0,Right Center Back,3,105,Portsmouth,"['62aee258-a6e6-4b95-8650-758b3d57e4ef', 'b4b88bc2-8696-40d1-85e4-41942181c0e8']",20,,,,,,,,,,,,,,,,,,,,,,105,Portsmouth,00:00:20.832,30,Pass,
,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62aee258-a6e6-4b95-8650-758b3d57e4ef,27,,,"[92.0, 49.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40337.0,Yakubu Aiyegbeni,24.0,Left Center Forward,3,105,Portsmouth,['b41d9242-af1f-43da-9e94-b966343d4b81'],23,,,,,,,,,,,,,,,,,,,,,,105,Portsmouth,00:00:23.491,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,10.0,Aerial Lost,0.0,,,,,,,,,,,,,,,,,,,,,,120513f2-c006-4341-b3f5-048be2e21afa,28,,,"[92.0, 49.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40337.0,Yakubu Aiyegbeni,24.0,Left Center Forward,3,105,Portsmouth,['b4b88bc2-8696-40d1-85e4-41942181c0e8'],23,,,,,,,,,,,,,,,,,,,,,,105,Portsmouth,00:00:23.491,4,Duel,True
,,,,,,,,True,37.0,Head,True,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,b4b88bc2-8696-40d1-85e4-41942181c0e8,29,,,"[28.1, 30.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,38412.0,Kolo Habib Touré,3.0,Right Center Back,3,105,Portsmouth,"['120513f2-c006-4341-b3f5-048be2e21afa', 'b41d9242-af1f-43da-9e94-b966343d4b81']",23,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:23.491,9,Clearance,True
,,,,,,,,,,,,,,,,,,,,,,,,0.324971,,,,,,,,,,,,,,,,,,,,,,827bd9bd-1561-4978-a45d-3b166ab0ecd6,30,,,"[36.0, 33.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,15515.0,Patrick Vieira,13.0,Right Center Midfield,3,105,Portsmouth,,24,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:24.916,17,Pressure,
